"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","27,6800","26,9100","27,8000","26,6800","1,81M","2,98%"
"24.12.2021","26,8800","28,3700","29,7300","26,7800","2,26M","-5,22%"
"23.12.2021","28,3600","27,4100","28,8400","26,4300","3,83M","3,62%"
"22.12.2021","27,3700","23,6200","28,4400","23,3600","5,19M","15,93%"
"21.12.2021","23,6100","21,5400","23,6800","21,4900","1,82M","9,81%"
"20.12.2021","21,5000","22,1500","22,4300","20,7400","1,91M","-2,98%"
"19.12.2021","22,1600","23,1500","23,7100","22,0600","1,86M","-4,40%"
"18.12.2021","23,1800","21,2400","23,2300","20,9300","1,54M","9,24%"
"17.12.2021","21,2200","21,7800","22,0500","20,4000","2,17M","-2,71%"
"16.12.2021","21,8100","22,3400","23,4500","21,6800","1,93M","-2,24%"
"15.12.2021","22,3100","21,7900","22,8400","20,2400","3,12M","2,34%"
"14.12.2021","21,8000","21,7300","22,1000","20,9800","2,24M","0,23%"
"13.12.2021","21,7500","24,5000","24,9300","21,0800","3,24M","-11,19%"
"12.12.2021","24,4900","24,4300","25,2000","23,5300","2,10M","0,57%"
"11.12.2021","24,3500","22,5300","24,7400","22,0400","3,03M","8,08%"
"10.12.2021","22,5300","22,5100","23,8600","21,8600","3,03M","0,31%"
"09.12.2021","22,4600","25,3200","25,5900","22,4400","2,61M","-11,01%"
"08.12.2021","25,2400","24,3000","25,9900","22,8600","3,59M","3,87%"
"07.12.2021","24,3000","24,3400","25,4200","23,8100","3,59M","-0,29%"
"06.12.2021","24,3700","24,5400","24,8000","22,0600","5,43M","-0,85%"
"05.12.2021","24,5800","28,1900","29,1800","23,6700","5,36M","-12,87%"
"04.12.2021","28,2100","32,8400","32,9000","22,2300","13,25M","-13,63%"
"03.12.2021","32,6600","28,3900","33,5900","27,7200","10,88M","15,16%"
"02.12.2021","28,3600","26,6600","28,6000","25,6600","2,77M","6,26%"
"01.12.2021","26,6900","27,5100","28,2500","26,3800","2,24M","-2,98%"
"30.11.2021","27,5100","28,1000","29,3200","26,9900","2,61M","-2,13%"
"29.11.2021","28,1100","27,3900","28,4100","26,7400","1,74M","2,67%"
"28.11.2021","27,3800","26,7200","27,5900","24,8100","2,04M","2,24%"
"27.11.2021","26,7800","27,0600","28,0300","26,4600","1,52M","-0,70%"
"26.11.2021","26,9700","29,7600","30,2600","25,2700","4,57M","-9,34%"
"25.11.2021","29,7500","29,6200","30,8800","29,3000","1,98M","0,37%"
"24.11.2021","29,6400","32,0500","32,0500","29,2600","2,75M","-7,78%"
"23.11.2021","32,1400","32,2100","33,2000","30,7400","3,27M","0,00%"
"22.11.2021","32,1400","30,9400","33,7200","29,0300","6,62M","3,91%"
"21.11.2021","30,9300","29,4400","31,9900","28,3400","2,67M","5,24%"
"20.11.2021","29,3900","28,1300","29,8400","27,8300","1,87M","4,55%"
"19.11.2021","28,1100","26,6300","28,5300","26,0300","1,71M","5,48%"
"18.11.2021","26,6500","29,4400","29,7900","25,3200","3,43M","-9,32%"
"17.11.2021","29,3900","28,2700","29,6100","26,9400","2,84M","3,63%"
"16.11.2021","28,3600","31,4700","31,4700","27,5400","4,95M","-9,83%"
