"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","116,08","114,83","116,90","112,40","2,06M","1,04%"
"24.12.2021","114,89","121,32","124,53","113,29","2,10M","-5,33%"
"23.12.2021","121,36","116,69","124,97","116,42","2,53M","4,10%"
"22.12.2021","116,58","123,43","127,19","115,65","2,95M","-5,43%"
"21.12.2021","123,28","113,64","123,88","110,77","3,71M","8,81%"
"20.12.2021","113,30","107,30","116,07","101,03","4,46M","5,28%"
"19.12.2021","107,62","115,67","116,59","106,89","2,14M","-7,10%"
"18.12.2021","115,84","110,85","117,25","105,61","3,44M","4,45%"
"17.12.2021","110,91","98,24","115,73","98,24","6,16M","12,82%"
"16.12.2021","98,31","101,34","109,63","98,17","4,99M","-2,80%"
"15.12.2021","101,14","87,24","105,61","86,12","6,45M","15,89%"
"14.12.2021","87,27","79,00","87,39","76,47","2,97M","10,30%"
"13.12.2021","79,12","88,01","89,89","75,70","3,60M","-10,13%"
"12.12.2021","88,04","86,24","88,89","83,01","1,55M","1,82%"
"11.12.2021","86,47","80,58","86,95","78,82","2,32M","7,26%"
"10.12.2021","80,62","85,94","91,70","80,58","3,34M","-5,67%"
"09.12.2021","85,47","93,24","94,51","83,34","2,60M","-8,22%"
"08.12.2021","93,12","89,57","93,20","86,57","1,98M","3,89%"
"07.12.2021","89,63","92,89","96,55","88,10","2,88M","-3,92%"
"06.12.2021","93,29","86,35","94,84","77,06","5,16M","8,35%"
"05.12.2021","86,10","93,12","95,26","82,59","3,56M","-7,62%"
"04.12.2021","93,20","108,64","108,65","76,62","6,77M","-14,17%"
"03.12.2021","108,59","107,79","113,17","100,03","3,32M","0,62%"
"02.12.2021","107,92","119,62","119,68","107,13","2,48M","-9,74%"
"01.12.2021","119,57","120,42","127,23","117,53","3,01M","-0,49%"
"30.11.2021","120,16","120,39","124,66","114,19","3,63M","-0,21%"
"29.11.2021","120,41","110,44","120,41","109,25","2,52M","8,97%"
"28.11.2021","110,50","113,54","113,82","100,66","3,37M","-2,50%"
"27.11.2021","113,33","104,26","117,89","103,25","2,84M","9,04%"
