"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","452,90","452,00","456,10","447,70","34,16K","0,35%"
"24.12.2021","451,30","455,80","461,00","449,00","47,06K","-0,90%"
"23.12.2021","455,40","438,20","458,10","434,50","50,59K","3,97%"
"22.12.2021","438,00","437,80","446,90","434,90","41,52K","0,07%"
"21.12.2021","437,70","430,90","440,50","426,80","46,36K","1,74%"
"20.12.2021","430,20","432,60","439,80","419,10","61,84K","-0,62%"
"19.12.2021","432,90","435,80","445,20","432,30","45,05K","-0,64%"
"18.12.2021","435,70","425,40","438,90","419,30","43,42K","2,57%"
"17.12.2021","424,80","438,60","441,30","418,00","60,25K","-3,08%"
"16.12.2021","438,30","448,00","453,50","437,30","51,30K","-2,08%"
"15.12.2021","447,60","436,70","449,80","416,90","93,65K","2,43%"
"14.12.2021","437,00","422,30","441,70","418,70","94,47K","3,60%"
"13.12.2021","421,80","457,70","460,20","414,80","99,44K","-7,90%"
"12.12.2021","458,00","459,30","462,40","442,10","51,56K","-0,04%"
"11.12.2021","458,20","438,60","461,10","432,90","77,67K","4,54%"
"10.12.2021","438,30","448,70","468,60","437,20","116,66K","-2,32%"
"09.12.2021","448,70","480,60","482,70","448,20","108,16K","-6,54%"
"08.12.2021","480,10","474,50","487,20","463,90","116,41K","1,24%"
"07.12.2021","474,20","474,60","501,80","464,40","146,90K","-0,19%"
"06.12.2021","475,10","452,90","480,40","418,90","183,97K","4,90%"
"05.12.2021","452,90","473,20","477,60","435,00","164,92K","-4,55%"
"04.12.2021","474,50","532,40","533,40","350,00","454,22K","-11,01%"
"03.12.2021","533,20","561,60","567,20","520,30","84,43K","-5,07%"
"02.12.2021","561,70","570,80","571,90","558,20","58,11K","-1,59%"
"01.12.2021","570,80","570,40","586,40","565,10","63,69K","0,09%"
"30.11.2021","570,30","575,00","587,20","557,10","97,33K","-0,82%"
"30.11.2021","570,30","575,00","587,20","557,10","97,33K","-0,82%"
"29.11.2021","575,00","568,70","581,00","557,20","80,69K","1,25%"
"28.11.2021","567,90","562,50","568,30","534,60","78,37K","0,92%"
"27.11.2021","562,70","557,30","573,10","555,10","55,60K","1,13%"
"26.11.2021","556,40","616,90","618,70","542,60","237,89K","-9,65%"
"25.11.2021","615,80","618,70","635,50","608,00","119,00K","-0,48%"
"24.11.2021","618,80","571,30","619,90","558,60","147,97K","8,24%"
"23.11.2021","571,70","557,10","574,90","546,90","76,99K","2,66%"
"22.11.2021","556,90","575,00","577,40","548,10","79,46K","-3,23%"
"21.11.2021","575,50","584,50","585,10","569,10","43,02K","-1,51%"
"19.11.2021","572,80","554,40","576,80","548,40","78,60K","3,19%"
"18.11.2021","555,10","595,20","600,90","543,20","112,67K","-6,77%"
"17.11.2021","595,40","598,20","603,10","579,00","95,95K","-0,45%"
"16.11.2021","598,10","665,50","665,50","573,50","184,34K","-10,13%"
"15.11.2021","665,50","679,50","686,00","665,00","72,55K","-2,05%"
"14.11.2021","679,40","666,20","679,40","657,40","65,64K","2,04%"
"13.11.2021","665,80","668,20","670,50","655,60","59,34K","-0,36%"
"12.11.2021","668,20","675,60","684,50","647,00","107,14K","-1,26%"
"11.11.2021","676,70","662,40","680,70","658,60","93,52K","1,97%"
"10.11.2021","663,60","717,10","729,10","649,30","290,49K","-7,46%"
"09.11.2021","717,10","638,30","731,00","636,50","337,53K","12,31%"
"08.11.2021","638,50","600,40","642,10","598,90","131,61K","6,36%"
"07.11.2021","600,30","587,30","600,30","585,80","37,08K","2,21%"
"06.11.2021","587,30","597,70","602,20","577,00","51,91K","-1,74%"
"05.11.2021","597,70","595,30","631,70","591,80","163,70K","0,32%"
"04.11.2021","595,80","611,30","613,20","587,20","64,67K","-2,49%"
"03.11.2021","611,00","598,70","618,90","590,10","117,50K","2,14%"
"02.11.2021","598,20","587,30","608,30","582,70","64,41K","1,93%"
"01.11.2021","586,90","597,10","599,50","579,50","62,28K","-1,74%"
"31.10.2021","597,30","585,10","603,60","574,40","84,31K","2,15%"
"30.10.2021","584,70","595,10","600,60","576,80","49,01K","-1,60%"
"29.10.2021","594,20","578,70","596,40","574,70","57,14K","2,70%"
"28.10.2021","578,60","548,80","591,40","544,30","133,45K","5,58%"
"27.10.2021","548,00","611,90","619,20","531,80","137,62K","-10,44%"
"26.10.2021","611,90","621,90","631,80","601,90","68,36K","-1,51%"
"25.10.2021","621,30","617,40","628,30","615,00","58,27K","0,62%"
"24.10.2021","617,50","629,20","633,00","605,90","66,36K","-1,84%"
"23.10.2021","629,10","623,80","637,40","615,10","50,22K","0,82%"
"22.10.2021","624,00","623,30","637,00","612,80","66,12K","0,16%"
"21.10.2021","623,00","644,60","655,80","621,30","116,04K","-3,35%"
"20.10.2021","644,60","618,50","648,50","605,30","93,64K","4,22%"
"19.10.2021","618,50","611,30","624,70","600,50","71,56K","1,13%"
"18.10.2021","611,60","612,60","619,10","598,80","70,89K","-0,07%"
"17.10.2021","612,00","625,60","628,70","592,30","84,26K","-2,06%"
"16.10.2021","624,90","625,70","647,20","623,90","100,77K","-0,03%"
