"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","3,54790","3,48831","3,56380","3,04179","103,47K","1,71%"
"24.12.2021","3,48831","3,29664","3,62667","3,28904","251,02K","5,81%"
"23.12.2021","3,29664","3,29664","3,29664","3,29664","-","0,00%"
"22.12.2021","3,29664","3,00647","3,29664","3,00647","0,00K","9,65%"
"21.12.2021","3,00647","3,04092","3,16206","3,00647","0,00K","-1,13%"
"20.12.2021","3,04092","3,01678","3,18118","3,01678","0,12K","0,80%"
"19.12.2021","3,01678","3,01678","3,01678","3,01678","-","0,00%"
"18.12.2021","3,01678","3,01678","3,01678","3,01678","-","0,00%"
"17.12.2021","3,01678","3,01678","3,01678","3,01678","-","0,00%"
"16.12.2021","3,01678","3,42486","3,42486","3,01678","0,01K","-11,92%"
"15.12.2021","3,42486","3,42486","3,42486","3,42486","-","0,00%"
"14.12.2021","3,42486","3,42486","3,42486","3,42486","-","0,00%"
"13.12.2021","3,42486","3,42486","3,42486","3,42486","-","0,00%"
"12.12.2021","3,42486","3,29030","3,42486","3,29030","0,00K","4,09%"
"11.12.2021","3,29030","3,41203","3,41203","3,00000","0,27K","-3,57%"
"10.12.2021","3,41203","3,40500","3,41203","3,39539","0,02K","0,21%"
"09.12.2021","3,40500","3,53130","3,53130","3,40500","0,01K","-3,58%"
"08.12.2021","3,53130","3,59559","3,60060","3,53130","0,02K","-1,79%"
"07.12.2021","3,59559","3,24124","3,59559","3,24124","0,02K","10,93%"
"06.12.2021","3,24124","3,38396","3,38396","3,24124","0,04K","-4,22%"
"05.12.2021","3,38396","3,50000","3,54713","3,32933","0,02K","-3,32%"
"04.12.2021","3,50000","3,75876","3,75876","2,99357","0,51K","-6,53%"
"03.12.2021","3,74447","4,07807","4,20720","3,70010","0,33K","-8,18%"
"02.12.2021","4,07807","4,24277","4,24277","3,98491","0,02K","-3,88%"
"01.12.2021","4,24277","4,13371","4,24277","4,10010","0,26K","2,64%"
"30.11.2021","4,13371","3,98098","4,17203","3,98098","0,22K","3,84%"
"30.11.2021","4,13371","3,98098","4,17203","3,98098","0,22K","3,84%"
"29.11.2021","3,98098","3,90590","3,98098","3,90590","0,02K","1,92%"
"28.11.2021","3,90590","3,88889","3,90590","3,73073","0,02K","0,44%"
"27.11.2021","3,88889","3,88889","3,88889","3,88889","-","0,00%"
"26.11.2021","3,88889","4,07293","4,07293","3,78035","0,04K","-4,52%"
"25.11.2021","4,07293","3,99492","4,07293","3,99492","0,01K","1,95%"
"24.11.2021","3,99492","3,90638","4,00585","3,90638","0,06K","2,27%"
"23.11.2021","3,90638","3,91165","3,91165","3,90625","0,07K","-0,13%"
"22.11.2021","3,91165","4,10180","4,10180","3,91165","0,04K","-4,64%"
