"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.11.2021","19,830","20,220","20,230","19,580","4,58M","-1,93%"
"07.11.2021","20,220","19,210","20,470","19,050","4,92M","5,26%"
"06.11.2021","19,210","19,430","19,600","18,750","2,49M","-1,13%"
"05.11.2021","19,430","18,810","20,390","18,620","5,35M","3,30%"
"04.11.2021","18,810","18,960","19,630","18,470","5,30M","-0,69%"
"03.11.2021","18,940","18,510","19,040","17,940","3,19M","2,32%"
"02.11.2021","18,510","18,430","18,880","17,860","3,22M","0,44%"
"01.11.2021","18,430","17,650","18,520","17,301","3,51M","4,36%"
"31.10.2021","17,660","18,010","18,150","17,280","2,60M","-1,94%"
"30.10.2021","18,010","18,590","18,890","17,700","2,95M","-3,12%"
"29.10.2021","18,590","18,230","18,950","17,550","4,04M","1,92%"
"28.10.2021","18,240","18,069","18,650","17,770","3,70M","0,94%"
"27.10.2021","18,070","19,360","19,540","18,000","4,20M","-6,66%"
"26.10.2021","19,360","19,850","19,980","19,320","2,27M","-2,47%"
"25.10.2021","19,850","19,470","20,120","19,410","2,08M","1,95%"
"24.10.2021","19,470","19,880","20,090","19,300","1,91M","-2,06%"
"23.10.2021","19,880","19,770","19,950","19,530","1,43M","0,55%"
"22.10.2021","19,770","19,890","20,600","19,610","3,31M","-0,65%"
"21.10.2021","19,900","20,420","20,730","19,650","3,93M","-2,55%"
"20.10.2021","20,420","20,140","20,590","19,770","3,01M","1,39%"
"19.10.2021","20,140","19,840","20,360","19,790","2,52M","1,56%"
"18.10.2021","19,830","19,490","19,870","19,340","1,91M","1,85%"
"17.10.2021","19,470","19,730","19,870","19,020","1,80M","-1,32%"
"16.10.2021","19,730","19,850","20,090","19,550","2,04M","-0,60%"
"15.10.2021","19,850","19,910","20,140","19,190","3,20M","-0,25%"
"14.10.2021","19,900","20,310","20,920","19,710","4,69M","-2,07%"
"13.10.2021","20,320","19,480","21,120","19,340","10,67M","4,32%"
"12.10.2021","19,479","18,800","19,480","17,730","5,19M","3,62%"
"11.10.2021","18,800","18,610","19,480","18,440","2,07M","1,02%"
"10.10.2021","18,610","19,670","19,690","18,530","2,11M","-5,39%"
"09.10.2021","19,670","19,540","19,960","19,420","1,50M","0,67%"
"08.10.2021","19,540","19,420","20,200","18,930","3,64M","0,62%"
"07.10.2021","19,420","19,750","21,280","19,270","5,35M","-1,67%"
"06.10.2021","19,750","19,970","19,980","18,590","3,38M","-1,10%"
"05.10.2021","19,970","19,310","20,030","19,070","2,42M","3,42%"
"04.10.2021","19,310","19,680","19,700","18,840","2,22M","-1,88%"
"03.10.2021","19,680","19,960","20,240","19,500","2,03M","-1,40%"
"02.10.2021","19,960","19,970","20,450","19,420","2,20M","-0,05%"
"01.10.2021","19,970","18,890","20,090","18,660","3,42M","5,72%"
"30.09.2021","18,890","18,540","19,360","18,410","2,59M","1,89%"
"29.09.2021","18,540","18,110","19,590","18,000","2,94M","2,37%"
"28.09.2021","18,110","18,420","18,680","18,010","2,45M","-1,68%"
"27.09.2021","18,420","18,650","19,790","18,420","3,92M","-1,23%"
"26.09.2021","18,650","18,490","19,420","16,910","5,29M","0,86%"
"25.09.2021","18,490","18,860","19,110","17,910","1,98M","-1,96%"
"24.09.2021","18,860","20,070","20,150","17,350","5,13M","-6,08%"
"23.09.2021","20,080","20,220","20,550","19,550","2,50M","-0,69%"
"22.09.2021","20,220","17,850","20,240","17,780","3,70M","13,27%"
"21.09.2021","17,851","19,100","20,070","17,499","5,63M","-6,54%"
"20.09.2021","19,100","22,770","22,850","18,800","7,04M","-16,12%"
"19.09.2021","22,770","22,410","23,720","21,890","3,61M","1,56%"
"18.09.2021","22,420","21,310","23,010","21,090","2,67M","5,21%"
"17.09.2021","21,310","22,320","22,360","21,110","2,41M","-4,53%"
"16.09.2021","22,320","22,600","23,080","21,880","3,38M","-1,15%"
"15.09.2021","22,580","20,800","22,850","20,550","4,22M","8,56%"
"14.09.2021","20,800","19,410","20,810","19,270","2,19M","7,16%"
