"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","0,3121","0,3004","0,3142","0,3000","183,21K","3,90%"
"24.12.2021","0,3004","0,3127","0,3283","0,2990","165,68K","-3,96%"
"23.12.2021","0,3127","0,2853","0,3143","0,2816","180,77K","9,64%"
"22.12.2021","0,2853","0,2802","0,2929","0,2777","162,86K","1,81%"
"21.12.2021","0,2802","0,2679","0,2837","0,2631","184,73K","4,59%"
"20.12.2021","0,2679","0,2573","0,3600","0,2478","298,68K","4,12%"
"19.12.2021","0,2573","0,2691","0,2749","0,2499","278,56K","-4,39%"
"18.12.2021","0,2691","0,2658","0,2739","0,2592","173,69K","1,26%"
"17.12.2021","0,2658","0,2785","0,2859","0,2539","224,83K","-4,56%"
"16.12.2021","0,2785","0,2851","0,3865","0,2664","268,79K","-2,34%"
"15.12.2021","0,2851","0,2789","0,2920","0,2586","233,55K","2,26%"
"14.12.2021","0,2789","0,2712","0,2891","0,2620","270,02K","2,84%"
"13.12.2021","0,2712","0,3033","0,3101","0,2653","343,12K","-10,58%"
"12.12.2021","0,3033","0,2974","0,3084","0,2931","145,25K","1,97%"
"11.12.2021","0,2974","0,2837","0,2991","0,2796","174,03K","4,81%"
"10.12.2021","0,2837","0,2999","0,3095","0,2830","276,44K","-5,39%"
"09.12.2021","0,2999","0,3305","0,3340","0,2973","374,80K","-9,26%"
"08.12.2021","0,3305","0,3176","0,3310","0,3035","182,81K","4,07%"
"07.12.2021","0,3176","0,3217","0,3393","0,3133","205,39K","-1,29%"
"06.12.2021","0,3217","0,3159","0,3237","0,2802","226,39K","1,85%"
"05.12.2021","0,3159","0,3397","0,3545","0,3070","245,79K","-7,01%"
"04.12.2021","0,3397","0,3950","0,3950","0,2437","554,50K","-13,99%"
"03.12.2021","0,3950","0,4210","0,4279","0,3800","334,26K","-6,18%"
"02.12.2021","0,4210","0,4356","0,4358","0,4119","161,16K","-3,35%"
"01.12.2021","0,4356","0,4378","0,4508","0,4271","166,64K","-0,50%"
"30.11.2021","0,4378","0,4605","0,4620","0,4374","142,68K","-4,93%"
"30.11.2021","0,4378","0,4605","0,4620","0,4374","142,68K","-4,93%"
"29.11.2021","0,4605","0,4434","0,4735","0,4349","128,10K","3,85%"
"28.11.2021","0,4434","0,4468","0,4468","0,4052","178,37K","-0,77%"
"27.11.2021","0,4468","0,4401","0,4626","0,4327","165,87K","1,52%"
"26.11.2021","0,4401","0,5038","0,5046","0,4104","343,61K","-12,63%"
"25.11.2021","0,5038","0,4847","0,5306","0,4709","250,94K","3,93%"
"24.11.2021","0,4847","0,4368","0,4895","0,4202","150,63K","10,97%"
