"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","0,6554","0,6275","0,6616","0,6228","32,62M","4,52%"
"24.12.2021","0,6270","0,5947","0,6842","0,5914","39,08M","5,46%"
"23.12.2021","0,5945","0,5365","0,6100","0,5298","26,06M","10,79%"
"22.12.2021","0,5366","0,5292","0,5478","0,5253","13,34M","1,42%"
"21.12.2021","0,5292","0,4994","0,5343","0,4950","9,86M","5,96%"
"20.12.2021","0,4994","0,5139","0,5192","0,4800","11,90M","-2,82%"
"19.12.2021","0,5139","0,5262","0,5402","0,5127","11,41M","-2,33%"
"18.12.2021","0,5262","0,5208","0,5369","0,5106","5,90M","1,08%"
"17.12.2021","0,5206","0,5385","0,5432","0,5102","10,63M","-3,40%"
"16.12.2021","0,5389","0,5558","0,5696","0,5378","12,34M","-3,04%"
"15.12.2021","0,5558","0,5434","0,5622","0,5139","26,62M","2,30%"
"14.12.2021","0,5433","0,5291","0,5515","0,5215","21,95M","2,61%"
"13.12.2021","0,5295","0,6021","0,6044","0,5232","13,27M","-12,06%"
"12.12.2021","0,6021","0,5771","0,6192","0,5698","8,52M","4,52%"
"11.12.2021","0,5761","0,5466","0,5807","0,5379","9,04M","5,58%"
"10.12.2021","0,5456","0,5648","0,5953","0,5442","14,57M","-3,43%"
"09.12.2021","0,5649","0,6082","0,6195","0,5590","14,10M","-7,11%"
"08.12.2021","0,6082","0,6062","0,6243","0,5841","17,20M","0,33%"
"07.12.2021","0,6062","0,5943","0,6550","0,5935","27,46M","1,82%"
"06.12.2021","0,5953","0,5606","0,5986","0,5094","26,10M","6,19%"
"05.12.2021","0,5606","0,6042","0,6113","0,5374","16,57M","-7,18%"
"04.12.2021","0,6040","0,6375","0,6423","0,4818","48,77M","-5,47%"
"03.12.2021","0,6389","0,6915","0,7015","0,5904","35,25M","-7,62%"
"02.12.2021","0,6917","0,7168","0,7234","0,6845","37,58M","-3,52%"
"01.12.2021","0,7169","0,6875","0,7695","0,6840","51,59M","4,34%"
"30.11.2021","0,6871","0,7140","0,7202","0,6662","38,93M","-3,74%"
"29.11.2021","0,7138","0,7504","0,7695","0,7122","33,42M","-4,82%"
"28.11.2021","0,7499","0,7758","0,7758","0,6863","53,84M","-3,35%"
"27.11.2021","0,7760","0,6856","0,8155","0,6826","82,27M","13,51%"
"26.11.2021","0,6836","0,8065","0,8075","0,6410","65,78M","-15,23%"
"25.11.2021","0,8063","0,8844","0,9071","0,7572","95,71M","-8,91%"
"24.11.2021","0,8853","0,8831","0,9540","0,8308","122,85M","0,26%"
"23.11.2021","0,8830","0,7250","0,8942","0,7098","160,42M","21,80%"
"22.11.2021","0,7250","0,7228","0,7556","0,6583","139,97M","0,65%"
"21.11.2021","0,7203","0,5754","0,7582","0,5629","163,36M","25,25%"
"20.11.2021","0,5751","0,5669","0,5829","0,5343","56,24M","1,39%"
"19.11.2021","0,5672","0,4980","0,5683","0,4820","62,10M","13,87%"
"18.11.2021","0,4981","0,5202","0,5855","0,4744","168,80M","-4,34%"
"17.11.2021","0,5207","0,4112","0,5748","0,3754","243,73M","26,50%"
"16.11.2021","0,4116","0,4393","0,4549","0,3846","95,43M","-6,31%"
"15.11.2021","0,4393","0,4368","0,5181","0,4328","160,06M","0,60%"
"14.11.2021","0,4367","0,3858","0,4374","0,3858","114,53M","13,30%"
"13.11.2021","0,3854","0,3584","0,4204","0,3569","111,19M","7,54%"
"12.11.2021","0,3584","0,3466","0,3603","0,3338","52,44M","3,41%"
"11.11.2021","0,3466","0,3292","0,3479","0,3223","35,08M","5,29%"
"10.11.2021","0,3292","0,3510","0,3649","0,3160","52,23M","-6,21%"
"09.11.2021","0,3510","0,3920","0,3984","0,3449","64,51M","-10,47%"
"08.11.2021","0,3920","0,3512","0,4140","0,3482","174,38M","11,63%"
"07.11.2021","0,3512","0,3360","0,3613","0,3267","85,34M","4,45%"
"06.11.2021","0,3363","0,3748","0,3792","0,3186","123,08M","-10,26%"
"05.11.2021","0,3747","0,2853","0,3947","0,2781","219,79M","31,35%"
"04.11.2021","0,2853","0,2666","0,2959","0,2550","126,60M","6,95%"
"03.11.2021","0,2667","0,2651","0,2675","0,2431","122,73M","4,15%"
"02.11.2021","0,2561","0,2138","0,2611","0,2119","116,88M","19,77%"
"01.11.2021","0,2138","0,2101","0,2149","0,2020","39,91M","1,75%"
"31.10.2021","0,2101","0,2160","0,2283","0,2059","60,98M","-1,85%"
"30.10.2021","0,2141","0,2234","0,2234","0,2116","27,61M","-4,07%"
"29.10.2021","0,2232","0,2017","0,2284","0,2007","70,64M","10,69%"
"28.10.2021","0,2016","0,1860","0,2077","0,1842","52,09M","8,42%"
"27.10.2021","0,1860","0,2025","0,2070","0,1851","48,83M","-8,16%"
"26.10.2021","0,2025","0,1997","0,2076","0,1990","17,96M","1,40%"
"25.10.2021","0,1997","0,1898","0,2014","0,1896","11,96M","5,16%"
"24.10.2021","0,1899","0,1923","0,1955","0,1875","20,23M","-1,27%"
"23.10.2021","0,1923","0,1857","0,1923","0,1844","14,41M","3,58%"
"22.10.2021","0,1857","0,1862","0,1943","0,1824","21,48M","-0,26%"
"21.10.2021","0,1862","0,1899","0,1975","0,1850","31,45M","-1,95%"
"20.10.2021","0,1899","0,1863","0,1912","0,1828","17,89M","1,95%"
"19.10.2021","0,1863","0,1853","0,1868","0,1812","17,36M","0,47%"
"18.10.2021","0,1854","0,1875","0,1896","0,1786","18,51M","-1,14%"
"17.10.2021","0,1875","0,1893","0,1900","0,1816","15,81M","-0,94%"
"16.10.2021","0,1893","0,1887","0,1931","0,1872","20,41M","0,29%"
"15.10.2021","0,1887","0,1863","0,1912","0,1829","30,45M","1,38%"
"14.10.2021","0,1862","0,1859","0,1893","0,1839","14,46M","0,12%"
"13.10.2021","0,1859","0,1850","0,1866","0,1782","20,44M","0,56%"
"12.10.2021","0,1849","0,1916","0,1916","0,1749","34,62M","-3,52%"
"11.10.2021","0,1917","0,1881","0,1936","0,1854","25,67M","1,88%"
"10.10.2021","0,1881","0,1926","0,1935","0,1867","18,14M","-2,31%"
"09.10.2021","0,1926","0,1907","0,1941","0,1886","18,91M","1,04%"
"08.10.2021","0,1906","0,1845","0,1973","0,1841","41,12M","3,27%"
"07.10.2021","0,1845","0,1877","0,1893","0,1839","36,77M","-1,70%"
"06.10.2021","0,1877","0,1809","0,1891","0,1756","51,13M","3,78%"
"05.10.2021","0,1809","0,1785","0,1822","0,1773","33,44M","1,31%"
"04.10.2021","0,1786","0,1810","0,1822","0,1722","35,87M","-1,33%"
"03.10.2021","0,1810","0,1740","0,1834","0,1714","37,25M","4,04%"
"02.10.2021","0,1740","0,1723","0,1779","0,1704","21,17M","1,03%"
"01.10.2021","0,1722","0,1582","0,1729","0,1567","36,60M","8,83%"
"30.09.2021","0,1582","0,1491","0,1585","0,1488","25,06M","6,09%"
"29.09.2021","0,1491","0,1455","0,1535","0,1445","22,74M","2,51%"
"28.09.2021","0,1455","0,1537","0,1546","0,1451","20,42M","-5,34%"
"27.09.2021","0,1537","0,1573","0,1627","0,1535","16,34M","-2,27%"
"26.09.2021","0,1573","0,1575","0,1609","0,1483","23,93M","-0,15%"
"25.09.2021","0,1575","0,1594","0,1609","0,1544","17,39M","-1,20%"
"24.09.2021","0,1594","0,1693","0,1696","0,1491","39,73M","-5,86%"
"23.09.2021","0,1693","0,1672","0,1719","0,1630","42,09M","1,26%"
"22.09.2021","0,1672","0,1522","0,1694","0,1516","14,93M","9,85%"
"21.09.2021","0,1522","0,1639","0,1673","0,1502","25,31M","-6,94%"
"20.09.2021","0,1636","0,1859","0,1867","0,1622","26,61M","-12,03%"
"19.09.2021","0,1859","0,1901","0,1902","0,1836","8,41M","-2,19%"
"18.09.2021","0,1901","0,1890","0,1953","0,1880","8,18M","0,58%"
"17.09.2021","0,1890","0,1907","0,2005","0,1875","41,27M","-0,91%"
"16.09.2021","0,1907","0,1896","0,1924","0,1864","21,53M","0,61%"
"15.09.2021","0,1896","0,1833","0,1899","0,1818","17,00M","3,53%"
"14.09.2021","0,1831","0,1748","0,1838","0,1738","12,71M","4,74%"
"13.09.2021","0,1748","0,1819","0,1861","0,1653","29,51M","-3,89%"
"12.09.2021","0,1819","0,1778","0,1851","0,1754","21,29M","2,36%"
"11.09.2021","0,1777","0,1703","0,1787","0,1703","12,31M","4,35%"
"10.09.2021","0,1703","0,1805","0,1856","0,1672","28,09M","-5,65%"
"09.09.2021","0,1805","0,1701","0,1836","0,1662","31,42M","6,21%"
