"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","3,4260","3,3800","3,4450","3,3580","12,93M","1,51%"
"24.12.2021","3,3750","3,5030","3,5120","3,3600","13,27M","-3,52%"
"23.12.2021","3,4980","3,3510","3,5280","3,3110","17,72M","4,36%"
"22.12.2021","3,3520","3,3100","3,4260","3,2930","15,54M","1,24%"
"21.12.2021","3,3110","3,1880","3,3570","3,1740","19,25M","3,99%"
"20.12.2021","3,1840","3,1840","3,3360","3,0930","25,19M","-0,13%"
"19.12.2021","3,1880","3,2420","3,3060","3,1750","13,27M","-1,73%"
"18.12.2021","3,2440","3,1570","3,3070","3,1090","11,89M","2,82%"
"17.12.2021","3,1550","3,2090","3,2660","3,0580","19,15M","-1,71%"
"16.12.2021","3,2100","3,3620","3,3880","3,1970","20,99M","-4,61%"
"15.12.2021","3,3650","3,3520","3,4780","3,1390","38,32M","0,27%"
"14.12.2021","3,3560","3,0910","3,4250","3,0510","47,70M","8,61%"
"13.12.2021","3,0900","3,3310","3,3940","3,0090","29,58M","-7,29%"
"12.12.2021","3,3330","3,4130","3,5050","3,2450","22,73M","-2,03%"
"11.12.2021","3,4020","3,0400","3,5630","2,9910","53,56M","12,06%"
"10.12.2021","3,0360","3,2240","3,3360","3,0250","25,60M","-5,63%"
"09.12.2021","3,2170","3,6540","3,6970","3,2140","35,97M","-11,67%"
"08.12.2021","3,6420","3,2230","3,8730","3,1370","84,35M","13,07%"
"07.12.2021","3,2210","3,2740","3,3230","3,1770","19,08M","-1,62%"
"06.12.2021","3,2740","3,0340","3,2930","2,8140","52,10M","7,98%"
"05.12.2021","3,0320","3,1440","3,1860","2,8800","28,74M","-3,78%"
"04.12.2021","3,1510","3,7910","3,8050","2,3980","71,75M","-16,93%"
"03.12.2021","3,7930","3,9650","4,1620","3,6760","21,04M","-4,31%"
"02.12.2021","3,9640","3,9900","4,0060","3,8570","10,97M","-0,63%"
"01.12.2021","3,9890","4,0050","4,1170","3,9360","13,00M","-0,40%"
"30.11.2021","4,0050","4,0030","4,1680","3,8810","20,99M","0,10%"
"29.11.2021","4,0010","3,9770","4,0440","3,9030","13,33M","0,88%"
"28.11.2021","3,9660","3,8960","3,9670","3,6810","18,04M","1,72%"
"27.11.2021","3,8990","3,8500","3,9760","3,8330","14,39M","1,51%"
"26.11.2021","3,8410","4,2530","4,2650","3,7650","29,77M","-9,58%"
"25.11.2021","4,2480","4,1190","4,3140","4,0970","15,02M","2,96%"
"24.11.2021","4,1260","4,2330","4,2580","4,0260","16,58M","-2,60%"
"23.11.2021","4,2360","4,1370","4,2450","4,0620","19,77M","2,42%"
"22.11.2021","4,1360","4,2430","4,2710","4,0580","19,32M","-2,64%"
"21.11.2021","4,2480","4,3400","4,3790","4,2320","13,64M","-2,14%"
