"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","1,33070","1,28440","1,37880","1,27290","3,75M","3,60%"
"24.12.2021","1,28440","1,29740","1,32300","1,25450","2,07M","-1,00%"
"23.12.2021","1,29740","1,27580","1,31880","1,23280","2,64M","1,69%"
"22.12.2021","1,27580","1,31997","1,34500","1,26200","6,11M","-3,35%"
"21.12.2021","1,31997","1,07870","1,32450","1,07182","7,54M","22,37%"
"20.12.2021","1,07870","1,06550","1,08540","1,02210","1,47M","1,24%"
"19.12.2021","1,06550","1,12860","1,13300","1,06200","1,17M","-5,59%"
"18.12.2021","1,12860","1,11468","1,13450","1,09000","513,92K","1,25%"
"17.12.2021","1,11468","1,13650","1,20000","1,08290","1,96M","-1,92%"
"16.12.2021","1,13650","1,10649","1,18890","1,10490","1,34M","2,71%"
"15.12.2021","1,10649","1,06210","1,12900","1,00000","1,41M","4,18%"
"14.12.2021","1,06210","1,02980","1,07020","1,01180","1,04M","3,14%"
"13.12.2021","1,02980","1,13830","1,14610","1,00460","1,67M","-9,53%"
"12.12.2021","1,13830","1,14360","1,15380","1,11100","465,58K","-0,46%"
"11.12.2021","1,14360","1,10771","1,16000","1,08970","960,34K","3,24%"
"10.12.2021","1,10771","1,13921","1,19220","1,10570","1,77M","-2,76%"
"09.12.2021","1,13921","1,19530","1,23400","1,12860","2,20M","-4,69%"
"08.12.2021","1,19530","1,17330","1,21980","1,14600","1,76M","1,88%"
"07.12.2021","1,17330","1,17300","1,21590","1,15000","3,51M","0,03%"
"06.12.2021","1,17300","1,15190","1,17510","1,02700","5,05M","1,83%"
"05.12.2021","1,15190","1,19110","1,22290","1,09360","3,60M","-3,29%"
"04.12.2021","1,19110","1,41040","1,41050","1,00010","8,88M","-15,55%"
"03.12.2021","1,41040","1,50820","1,51160","1,36002","4,52M","-6,48%"
"02.12.2021","1,50820","1,38788","1,54540","1,33760","6,05M","8,67%"
"01.12.2021","1,38788","1,45060","1,46860","1,36670","3,18M","-4,32%"
"30.11.2021","1,45060","1,41030","1,45250","1,35640","3,50M","2,86%"
"29.11.2021","1,41030","1,34550","1,42360","1,31860","3,53M","4,82%"
"28.11.2021","1,34550","1,37115","1,37115","1,24010","2,71M","-1,87%"
"27.11.2021","1,37115","1,36670","1,41738","1,35120","1,92M","0,33%"
"26.11.2021","1,36670","1,58190","1,58750","1,34870","8,10M","-13,60%"
"25.11.2021","1,58190","1,49690","1,65730","1,47820","6,69M","5,68%"
"24.11.2021","1,49690","1,45860","1,53330","1,38010","7,21M","2,63%"
"23.11.2021","1,45860","1,42570","1,46600","1,35570","6,31M","2,31%"
"22.11.2021","1,42570","1,35110","1,56000","1,29580","14,78M","5,52%"
"21.11.2021","1,35110","1,30710","1,37980","1,28380","2,14M","3,37%"
"20.11.2021","1,30710","1,30200","1,32570","1,25410","3,19M","0,39%"
"19.11.2021","1,30200","1,24540","1,31552","1,21380","3,39M","4,54%"
"18.11.2021","1,24540","1,44790","1,46610","1,22850","5,69M","-13,99%"
"17.11.2021","1,44790","1,35110","1,47700","1,28850","13,21M","7,16%"
"16.11.2021","1,35110","1,32340","1,43810","1,12880","13,94M","2,09%"
"15.11.2021","1,32340","1,30230","1,33710","1,28260","1,58M","1,62%"
"14.11.2021","1,30230","1,31620","1,32710","1,28060","719,90K","-1,06%"
"13.11.2021","1,31620","1,28420","1,33320","1,26820","1,92M","2,49%"
"12.11.2021","1,28420","1,32920","1,33560","1,24510","1,76M","-3,39%"
"11.11.2021","1,32920","1,29690","1,34570","1,28000","2,64M","2,49%"
"10.11.2021","1,29690","1,40890","1,43510","1,21750","8,81M","-7,95%"
"09.11.2021","1,40890","1,38470","1,45000","1,37140","4,01M","1,75%"
"08.11.2021","1,38470","1,34370","1,39100","1,32330","2,84M","3,05%"
"07.11.2021","1,34370","1,34390","1,35060","1,32630","948,63K","-0,01%"
"06.11.2021","1,34390","1,37330","1,37440","1,28934","1,83M","-2,14%"
"05.11.2021","1,37330","1,35000","1,38890","1,33170","1,71M","1,73%"
"04.11.2021","1,35000","1,36340","1,38490","1,32370","1,50M","-0,98%"
"03.11.2021","1,36340","1,39160","1,40120","1,29990","3,07M","-2,03%"
"02.11.2021","1,39160","1,40300","1,40470","1,36840","917,51K","-0,81%"
"01.11.2021","1,40300","1,46490","1,47660","1,36450","2,03M","-4,23%"
"31.10.2021","1,46490","1,39200","1,49000","1,32570","5,25M","5,24%"
"30.10.2021","1,39200","1,29410","1,43710","1,24000","4,83M","7,57%"
"29.10.2021","1,29410","1,24590","1,29890","1,24130","1,38M","3,87%"
"28.10.2021","1,24590","1,19250","1,26430","1,18210","2,00M","4,48%"
"27.10.2021","1,19250","1,36910","1,38840","1,13610","6,07M","-12,90%"
"26.10.2021","1,36910","1,34300","1,42130","1,33620","2,57M","1,94%"
"25.10.2021","1,34300","1,30330","1,34790","1,29260","903,26K","3,05%"
"24.10.2021","1,30330","1,32590","1,35510","1,26720","1,67M","-1,70%"
"23.10.2021","1,32590","1,34358","1,34765","1,30230","1,58M","-1,32%"
"22.10.2021","1,34358","1,27550","1,36610","1,27490","3,05M","5,34%"
"21.10.2021","1,27550","1,29590","1,31680","1,25340","2,93M","-1,57%"
"20.10.2021","1,29590","1,24150","1,31270","1,22260","2,75M","4,38%"
"19.10.2021","1,24150","1,24170","1,25430","1,21500","1,88M","-0,02%"
"18.10.2021","1,24170","1,24850","1,25620","1,20660","2,28M","-0,43%"
"17.10.2021","1,24700","1,29320","1,31046","1,20710","3,27M","-3,57%"
"16.10.2021","1,29320","1,29240","1,33854","1,27640","2,25M","0,06%"
"15.10.2021","1,29240","1,35550","1,35930","1,26050","3,69M","-4,66%"
"14.10.2021","1,35550","1,35590","1,38820","1,33780","1,64M","-0,03%"
"13.10.2021","1,35590","1,33600","1,35800","1,30010","1,41M","1,49%"
"12.10.2021","1,33600","1,43860","1,43960","1,27670","4,00M","-7,13%"
"11.10.2021","1,43860","1,39520","1,56990","1,39520","8,00M","3,11%"
"10.10.2021","1,39520","1,37890","1,49970","1,36150","6,94M","1,18%"
"09.10.2021","1,37890","1,32470","1,37910","1,29630","2,83M","4,09%"
"08.10.2021","1,32470","1,27580","1,33420","1,26520","2,97M","3,83%"
"07.10.2021","1,27580","1,28440","1,29690","1,24480","3,96M","-0,67%"
"06.10.2021","1,28440","1,22827","1,33040","1,19350","8,09M","4,57%"
"05.10.2021","1,22827","1,19570","1,23740","1,18020","3,62M","2,72%"
"04.10.2021","1,19570","1,21200","1,22790","1,16400","5,24M","-1,34%"
"03.10.2021","1,21200","1,26994","1,33160","1,19660","22,35M","-4,56%"
"02.10.2021","1,26994","1,31890","1,33820","1,19400","9,41M","-3,83%"
"01.10.2021","1,32050","1,14650","1,34740","1,13660","6,71M","15,18%"
"30.09.2021","1,14650","1,03810","1,15460","1,01510","9,10M","10,44%"
"29.09.2021","1,03810","1,04690","1,11490","1,02030","18,62M","-0,84%"
"28.09.2021","1,04690","1,14000","1,15550","1,04550","9,58M","-8,17%"
"27.09.2021","1,14000","1,17460","1,21840","1,14000","7,49M","-2,95%"
"26.09.2021","1,17460","1,22360","1,22970","1,11780","8,52M","-4,00%"
"25.09.2021","1,22360","1,26260","1,27150","1,21690","5,13M","-3,09%"
"24.09.2021","1,26260","1,38700","1,39040","1,20210","11,36M","-8,97%"
"23.09.2021","1,38700","1,35650","1,39980","1,33010","5,53M","2,25%"
"22.09.2021","1,35650","1,21360","1,36770","1,21350","12,43M","11,72%"
"21.09.2021","1,21420","1,29500","1,34630","1,19620","14,15M","-6,24%"
"20.09.2021","1,29500","1,52920","1,53340","1,29180","13,83M","-15,32%"
"19.09.2021","1,52920","1,65820","1,66090","1,50000","2,83M","-7,78%"
"18.09.2021","1,65820","1,73800","1,74120","1,60700","1,63M","-4,31%"
"17.09.2021","1,73280","1,52530","1,75300","1,48700","6,15M","13,60%"
"16.09.2021","1,52530","1,60830","1,63510","1,47530","2,18M","-5,16%"
"15.09.2021","1,60830","1,56404","1,65720","1,51710","2,23M","2,83%"
"14.09.2021","1,56404","1,40300","1,56830","1,38260","4,57M","11,55%"
"13.09.2021","1,40210","1,51370","1,52310","1,31000","3,55M","-7,37%"
"12.09.2021","1,51370","1,50510","1,54850","1,45510","1,22M","0,57%"
"11.09.2021","1,50510","1,53680","1,56750","1,47570","1,03M","-2,06%"
"10.09.2021","1,53680","1,56470","1,76410","1,49510","5,39M","-1,78%"
"09.09.2021","1,56470","1,51790","1,62180","1,48720","3,44M","3,08%"
"08.09.2021","1,51790","1,51070","1,72625","1,43000","7,93M","0,48%"
"07.09.2021","1,51070","1,80150","1,87580","1,28270","15,43M","-16,14%"
"06.09.2021","1,80150","1,80668","1,98000","1,76810","9,97M","-0,29%"
"05.09.2021","1,80668","1,98670","1,98789","1,73228","10,40M","-9,06%"
"04.09.2021","1,98670","1,56870","2,08290","1,55000","21,84M","26,65%"
"03.09.2021","1,56870","1,55340","1,65710","1,49640","6,76M","0,98%"
"02.09.2021","1,55340","1,14140","1,65240","1,13340","27,99M","36,10%"
