"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","97,6400","95,6900","99,0000","95,3400","4,09M","2,00%"
"24.12.2021","95,7300","94,1200","101,1600","93,8100","6,61M","1,46%"
"23.12.2021","94,3500","85,3500","95,0100","84,4800","7,79M","10,56%"
"22.12.2021","85,3400","87,3400","97,9000","84,4900","10,94M","-2,23%"
"21.12.2021","87,2900","82,1200","88,9500","79,6300","6,66M","6,82%"
"20.12.2021","81,7200","78,1200","82,4900","72,3400","10,02M","4,50%"
"19.12.2021","78,2000","74,1900","78,9100","72,2700","5,25M","5,42%"
"18.12.2021","74,1800","65,6000","74,1800","62,4300","5,68M","12,99%"
"17.12.2021","65,6500","64,2300","69,0100","60,7600","5,30M","2,16%"
"16.12.2021","64,2600","61,6700","68,0100","61,0300","5,54M","4,34%"
"15.12.2021","61,5900","60,2200","63,9500","54,4200","6,79M","2,29%"
"14.12.2021","60,2100","52,9500","60,5700","52,2700","7,42M","13,67%"
"13.12.2021","52,9700","61,9900","62,5100","52,5400","6,54M","-14,48%"
"12.12.2021","61,9400","60,1900","62,5200","57,5200","4,02M","2,99%"
"11.12.2021","60,1400","60,8400","63,7800","57,7700","5,53M","-1,17%"
"10.12.2021","60,8500","66,8500","71,8200","60,5200","7,64M","-8,45%"
"09.12.2021","66,4700","75,0900","76,4900","65,6300","8,18M","-11,51%"
"08.12.2021","75,1200","68,7600","75,8500","65,3000","7,26M","9,31%"
"07.12.2021","68,7200","66,9000","74,4300","65,6300","8,25M","2,20%"
"06.12.2021","67,2400","68,0800","68,3000","59,8700","12,88M","-1,41%"
"05.12.2021","68,2000","74,8100","78,1300","65,6800","13,35M","-9,54%"
"04.12.2021","75,3900","63,7200","78,0500","50,0600","18,56M","18,61%"
"03.12.2021","63,5600","66,3100","70,3300","63,0600","9,41M","-4,19%"
"02.12.2021","66,3400","63,9800","66,3400","61,2500","7,75M","3,49%"
"01.12.2021","64,1000","59,6900","64,7900","55,7500","8,07M","7,66%"
"30.11.2021","59,5400","51,6100","59,9900","50,5100","9,51M","15,34%"
"29.11.2021","51,6200","50,1300","52,8000","47,7000","5,16M","2,93%"
"28.11.2021","50,1500","43,8200","50,1700","42,3000","8,41M","14,18%"
"27.11.2021","43,9200","41,1100","44,3200","40,9100","3,25M","7,36%"
"26.11.2021","40,9100","43,5500","45,1100","37,9200","7,70M","-6,11%"
"25.11.2021","43,5700","38,5700","43,7800","38,4100","3,21M","12,88%"
"24.11.2021","38,6000","42,7200","42,9800","37,8600","3,71M","-9,60%"
"23.11.2021","42,7000","41,0800","43,4000","39,8600","2,36M","3,84%"
"22.11.2021","41,1200","43,5300","43,8400","40,3900","3,10M","-5,77%"
"21.11.2021","43,6400","45,2600","45,3600","42,6100","2,25M","-3,45%"
"20.11.2021","45,2000","42,3900","45,5000","41,4100","2,70M","6,65%"
"19.11.2021","42,3800","40,2600","43,4700","39,6100","3,92M","5,27%"
"18.11.2021","40,2600","43,2100","45,0900","38,9000","6,53M","-6,83%"
