"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","3,639","3,559","3,688","3,526","2,96M","2,48%"
"24.12.2021","3,551","3,707","3,729","3,531","3,41M","-3,79%"
"23.12.2021","3,691","3,313","3,764","3,260","6,10M","11,34%"
"22.12.2021","3,315","3,233","3,494","3,219","5,33M","2,54%"
"21.12.2021","3,233","3,152","3,256","3,095","3,10M","2,70%"
"20.12.2021","3,148","3,179","3,233","2,951","5,64M","-1,19%"
"19.12.2021","3,186","3,236","3,324","3,159","2,35M","-1,48%"
"18.12.2021","3,234","3,168","3,336","3,119","2,32M","1,92%"
"17.12.2021","3,173","3,311","3,353","3,097","3,70M","-4,17%"
"16.12.2021","3,311","3,529","3,636","3,301","3,40M","-6,07%"
"15.12.2021","3,525","3,223","3,720","3,039","5,58M","9,27%"
"14.12.2021","3,226","3,207","3,329","3,075","3,34M","0,50%"
"13.12.2021","3,210","3,642","3,670","3,166","4,81M","-11,96%"
"12.12.2021","3,646","3,580","3,774","3,529","2,69M","1,84%"
"11.12.2021","3,580","3,445","3,610","3,378","2,82M","3,95%"
"10.12.2021","3,444","3,550","3,763","3,430","3,32M","-3,01%"
"09.12.2021","3,551","3,969","3,974","3,524","4,44M","-10,35%"
"08.12.2021","3,961","3,912","3,999","3,680","4,68M","1,36%"
"07.12.2021","3,908","3,808","4,149","3,703","6,17M","2,28%"
"06.12.2021","3,821","3,518","3,972","3,225","10,16M","8,64%"
"05.12.2021","3,517","3,838","3,879","3,409","5,64M","-8,39%"
"04.12.2021","3,839","4,206","4,216","3,413","11,19M","-9,20%"
"03.12.2021","4,228","4,364","4,470","4,151","5,93M","-3,14%"
"02.12.2021","4,365","4,536","4,538","4,310","4,51M","-3,85%"
"01.12.2021","4,540","4,543","4,699","4,520","5,61M","0,09%"
"30.11.2021","4,536","4,815","4,867","4,536","7,15M","-5,68%"
"29.11.2021","4,809","4,783","4,912","4,644","4,86M","0,44%"
"28.11.2021","4,788","4,719","4,797","4,400","5,30M","1,48%"
"27.11.2021","4,718","4,582","5,183","4,567","9,31M","3,28%"
"26.11.2021","4,568","5,025","5,051","4,366","10,81M","-8,88%"
"25.11.2021","5,013","5,212","5,487","4,845","13,36M","-3,67%"
"24.11.2021","5,204","4,486","5,289","4,394","18,40M","16,01%"
"23.11.2021","4,486","4,378","4,711","4,372","8,86M","2,61%"
"22.11.2021","4,372","4,465","4,682","4,292","6,37M","-2,10%"
"21.11.2021","4,466","4,624","4,816","4,389","7,48M","-3,27%"
"20.11.2021","4,617","4,719","4,888","4,391","7,66M","-2,12%"
"19.11.2021","4,717","4,194","4,886","4,156","9,08M","12,39%"
"18.11.2021","4,197","4,642","4,836","4,097","9,22M","-9,59%"
"17.11.2021","4,642","4,481","4,826","4,271","7,40M","3,57%"
"16.11.2021","4,482","5,072","5,072","4,412","13,07M","-11,68%"
"15.11.2021","5,075","5,348","5,648","5,050","8,73M","-4,94%"
