"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","0,7433","0,7392","0,7467","0,7318","606,87K","0,81%"
"24.12.2021","0,7373","0,7474","0,7643","0,7279","802,97K","-1,44%"
"23.12.2021","0,7481","0,7108","0,7503","0,7019","821,27K","5,25%"
"22.12.2021","0,7108","0,7002","0,7258","0,6960","443,24K","1,40%"
"21.12.2021","0,7010","0,6736","0,7071","0,6658","730,99K","4,27%"
"20.12.2021","0,6723","0,6909","0,7037","0,6499","936,58K","-2,69%"
"19.12.2021","0,6909","0,6803","0,7013","0,6734","869,93K","1,60%"
"18.12.2021","0,6800","0,6716","0,6932","0,6628","370,36K","1,06%"
"17.12.2021","0,6729","0,6731","0,6941","0,6520","1,41M","-0,18%"
"16.12.2021","0,6741","0,6969","0,7128","0,6726","803,32K","-3,26%"
"15.12.2021","0,6968","0,6761","0,7088","0,6415","1,85M","3,05%"
"14.12.2021","0,6762","0,6535","0,6834","0,6415","1,93M","3,47%"
"13.12.2021","0,6535","0,7251","0,7303","0,6486","2,68M","-10,11%"
"12.12.2021","0,7270","0,7366","0,7374","0,7065","1,73M","-1,06%"
"11.12.2021","0,7348","0,6874","0,7433","0,6778","2,23M","6,80%"
"10.12.2021","0,6880","0,7149","0,7436","0,6842","2,86M","-3,96%"
"10.11.2021","1,0686","1,1950","1,1950","0,9857","11,67M","46,36%"
"11.12.2021","0,7304","0,6874","0,7346","0,6778","2,07M","6,16%"
"10.12.2021","0,6880","0,7149","0,7436","0,6842","2,86M","-3,96%"
"09.12.2021","0,7164","0,8076","0,8096","0,7164","3,33M","-11,14%"
"08.12.2021","0,8062","0,7613","0,8151","0,7494","5,58M","5,87%"
"07.12.2021","0,7615","0,7577","0,7970","0,7432","3,60M","0,09%"
"06.12.2021","0,7608","0,7330","0,7629","0,6614","8,87M","3,84%"
"05.12.2021","0,7327","0,7918","0,8063","0,7035","6,82M","-7,81%"
"04.12.2021","0,7948","0,9483","0,9486","0,6062","15,27M","-16,26%"
"03.12.2021","0,9491","1,0031","1,0922","0,9210","13,07M","-5,37%"
"02.12.2021","1,0030","0,9738","1,0222","0,9338","4,35M","2,69%"
"01.12.2021","0,9767","0,9817","0,9991","0,9595","1,92M","-0,23%"
"30.11.2021","0,9790","1,0473","1,0485","0,9779","3,12M","-6,49%"
"30.11.2021","0,9790","1,0473","1,0485","0,9779","3,12M","-6,49%"
"29.11.2021","1,0470","0,9918","1,0470","0,9749","3,07M","5,55%"
"28.11.2021","0,9919","1,0415","1,0444","0,9271","4,82M","-4,95%"
"27.11.2021","1,0436","0,9697","1,0946","0,9628","7,21M","7,69%"
"26.11.2021","0,9691","1,0179","1,0530","0,9083","9,05M","-4,62%"
"25.11.2021","1,0160","0,9548","1,0205","0,9437","2,33M","6,37%"
