"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","7,745","7,553","8,058","7,553","22,73K","2,54%"
"24.12.2021","7,553","7,819","8,127","7,428","23,24K","-3,40%"
"23.12.2021","7,819","7,208","7,819","6,961","35,42K","8,48%"
"22.12.2021","7,208","6,841","7,709","6,795","36,71K","5,36%"
"21.12.2021","6,841","6,172","6,846","5,730","50,93K","10,84%"
"20.12.2021","6,172","5,720","6,200","4,942","58,63K","7,90%"
"19.12.2021","5,720","5,904","6,000","5,421","44,23K","-3,12%"
"18.12.2021","5,904","5,933","6,110","5,328","37,62K","-0,49%"
"17.12.2021","5,933","6,467","6,599","5,675","43,47K","-8,26%"
"16.12.2021","6,467","6,652","7,061","6,459","33,80K","-2,78%"
"15.12.2021","6,652","6,162","6,806","5,748","45,19K","7,95%"
"14.12.2021","6,162","6,249","6,436","6,001","38,72K","-1,39%"
"13.12.2021","6,249","7,091","7,151","6,028","31,18K","-11,87%"
"12.12.2021","7,091","7,006","7,193","6,652","27,45K","1,21%"
"11.12.2021","7,006","6,563","7,100","6,415","34,77K","6,75%"
"10.12.2021","6,563","6,982","7,467","6,562","34,75K","-6,00%"
"09.12.2021","6,982","8,034","8,367","6,950","38,53K","-12,87%"
"08.12.2021","8,013","7,279","8,015","7,065","35,58K","10,08%"
"07.12.2021","7,279","7,665","7,888","7,119","27,17K","-5,04%"
"06.12.2021","7,665","7,837","7,856","6,600","31,07K","-2,19%"
"05.12.2021","7,837","8,750","8,886","7,518","43,72K","-10,43%"
"04.12.2021","8,750","10,083","10,104","6,169","73,86K","-13,22%"
"03.12.2021","10,083","10,469","10,673","9,410","39,04K","-3,69%"
"02.12.2021","10,469","10,822","10,836","10,384","31,34K","-3,26%"
"01.12.2021","10,822","11,353","11,652","10,631","31,51K","-4,68%"
"30.11.2021","11,353","10,671","11,608","10,184","38,11K","6,39%"
"29.11.2021","10,671","11,161","11,367","10,581","30,15K","-4,39%"
"28.11.2021","11,161","11,278","11,278","10,005","30,69K","-1,04%"
"27.11.2021","11,278","10,978","12,054","10,884","19,12K","2,73%"
"26.11.2021","10,978","12,908","13,490","10,857","41,86K","-14,95%"
"25.11.2021","12,908","11,077","13,081","10,876","41,23K","16,53%"
"24.11.2021","11,077","10,547","11,938","10,477","32,56K","5,03%"
"23.11.2021","10,547","10,332","10,649","9,933","21,52K","2,08%"
"22.11.2021","10,332","10,899","11,390","10,154","29,99K","-5,20%"
"21.11.2021","10,899","11,484","11,540","10,768","19,75K","-5,09%"
"20.11.2021","11,484","11,086","11,661","10,648","27,04K","3,59%"
"19.11.2021","11,086","9,835","11,202","9,740","32,94K","12,72%"
"18.11.2021","9,835","10,851","11,331","9,309","35,35K","-9,36%"
