"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","0,096256","0,096079","0,097579","0,095000","472,44K","0,18%"
"24.12.2021","0,096079","0,094795","0,099000","0,094795","539,42K","1,35%"
"23.12.2021","0,094795","0,089485","0,097945","0,087086","571,63K","5,93%"
"22.12.2021","0,089485","0,084840","0,089710","0,084184","334,37K","5,48%"
"21.12.2021","0,084840","0,081490","0,085294","0,081200","517,13K","4,11%"
"20.12.2021","0,081490","0,080751","0,082516","0,076632","323,84K","0,92%"
"19.12.2021","0,080751","0,081833","0,083563","0,080398","274,26K","-1,32%"
"18.12.2021","0,081833","0,081709","0,083108","0,079477","82,05K","0,15%"
"17.12.2021","0,081709","0,084283","0,085889","0,079551","586,49K","-3,05%"
"16.12.2021","0,084283","0,086523","0,088044","0,084283","492,80K","-2,59%"
"15.12.2021","0,086523","0,084025","0,087629","0,080010","2,45M","2,97%"
"14.12.2021","0,084025","0,079974","0,084191","0,079394","712,31K","5,07%"
"13.12.2021","0,079974","0,089369","0,089369","0,078675","1,01M","-10,51%"
"12.12.2021","0,089369","0,087508","0,089953","0,086586","251,98K","2,13%"
"11.12.2021","0,087508","0,081998","0,089640","0,080707","499,65K","6,72%"
"10.12.2021","0,081998","0,084951","0,088756","0,081998","1,25M","-3,48%"
"10.11.2021","0,123339","0,136326","0,137318","0,111797","2,44M","37,84%"
"11.12.2021","0,089478","0,081998","0,089478","0,080707","732,35K","-27,45%"
"10.12.2021","0,081998","0,084951","0,088756","0,081998","1,25M","-3,48%"
"09.12.2021","0,084951","0,093000","0,093500","0,084790","1,05M","-8,65%"
"08.12.2021","0,093000","0,092044","0,094500","0,088276","1,50M","1,04%"
"07.12.2021","0,092044","0,091982","0,096050","0,090464","393,54K","0,07%"
"06.12.2021","0,091982","0,089218","0,092702","0,082236","1,29M","3,10%"
"05.12.2021","0,089218","0,091594","0,094768","0,084470","778,25K","-2,59%"
"04.12.2021","0,091594","0,104999","0,104999","0,079714","1,90M","-12,77%"
"03.12.2021","0,104999","0,105427","0,117100","0,103281","2,92M","-0,41%"
"02.12.2021","0,105427","0,107517","0,107838","0,103191","528,58K","-1,31%"
"01.12.2021","0,106824","0,108000","0,111164","0,105400","1,21M","-1,09%"
"30.11.2021","0,108000","0,112000","0,112181","0,107077","1,62M","-3,57%"
