"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.11.2021","6,9097","5,3791","7,2404","5,2551","323,80M","29,09%"
"23.11.2021","5,3528","4,9652","5,6739","4,8705","284,67M","8,19%"
"22.11.2021","4,9477","4,0142","4,9731","3,7543","207,80M","22,71%"
"21.11.2021","4,0319","4,2099","4,4514","3,8531","119,70M","-4,25%"
"20.11.2021","4,2110","4,4326","4,4342","4,0340","124,72M","-4,66%"
"19.11.2021","4,4167","4,2860","4,4940","3,9679","219,30M","2,23%"
"18.11.2021","4,3202","3,7611","4,6826","3,5912","441,71M","14,77%"
"17.11.2021","3,7641","3,2454","3,8120","3,1134","368,90M","16,54%"
"16.11.2021","3,2299","2,7903","3,3928","2,3154","333,07M","15,61%"
"15.11.2021","2,7938","2,8405","2,9971","2,7170","85,45M","-1,56%"
"14.11.2021","2,8381","2,7984","2,9684","2,7487","105,79M","1,32%"
"13.11.2021","2,8010","2,6331","3,1931","2,5834","288,07M","6,51%"
"12.11.2021","2,6297","2,4316","2,8261","2,3864","215,08M","8,41%"
"11.11.2021","2,4256","2,2935","2,5580","2,2496","69,99M","5,70%"
"10.11.2021","2,2947","2,3817","2,6648","2,0493","171,44M","-3,65%"
"09.11.2021","2,3816","2,5723","2,5723","2,3598","98,39M","-7,38%"
"08.11.2021","2,5714","2,6862","2,7156","2,4793","111,67M","-4,17%"
"07.11.2021","2,6834","2,6974","2,7340","2,6005","52,60M","-0,58%"
"06.11.2021","2,6990","2,5521","2,8500","2,5310","151,33M","5,83%"
"05.11.2021","2,5504","2,7067","2,7918","2,4416","138,83M","-5,34%"
"04.11.2021","2,6942","3,2096","3,2689","2,6130","253,94M","-16,22%"
"03.11.2021","3,2157","3,0579","3,4281","2,7010","521,70M","5,43%"
"02.11.2021","3,0500","2,1320","3,2921","2,0882","928,90M","43,39%"
"01.11.2021","2,1270","1,5777","2,3525","1,5357","612,03M","35,21%"
"31.10.2021","1,5731","1,8021","2,4053","1,4496","753,62M","-12,92%"
"30.10.2021","1,8066","1,1654","2,3617","1,0606","858,71M","54,67%"
"29.10.2021","1,1680","0,9393","1,1876","0,9172","287,62M","24,53%"
"28.10.2021","0,9379","0,7642","0,9473","0,7497","110,74M","22,68%"
"27.10.2021","0,7645","0,8306","0,8879","0,7212","47,72M","-7,86%"
"26.10.2021","0,8297","0,8066","0,8710","0,7994","33,33M","2,93%"
"25.10.2021","0,8061","0,7935","0,8200","0,7693","22,66M","1,52%"
"24.10.2021","0,7940","0,7642","0,7940","0,7559","20,35M","3,90%"
