"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"17.11.2021","2,55","2,60","2,62","2,42","1,42M","-2,13%"
"16.11.2021","2,60","2,77","2,98","2,55","5,23M","-6,10%"
"15.11.2021","2,77","2,54","2,83","2,51","2,14M","9,31%"
"14.11.2021","2,54","2,61","2,62","2,48","458,84K","-2,63%"
"13.11.2021","2,61","2,39","2,61","2,38","938,62K","8,84%"
"12.11.2021","2,39","2,42","2,44","2,32","316,55K","-1,26%"
"11.11.2021","2,42","2,39","2,46","2,34","347,06K","1,60%"
"10.11.2021","2,39","2,58","2,65","2,22","1,17M","-7,69%"
"09.11.2021","2,58","2,53","2,68","2,50","1,33M","2,30%"
"08.11.2021","2,53","2,40","2,53","2,35","752,86K","4,89%"
"07.11.2021","2,41","2,42","2,44","2,38","380,37K","-0,34%"
"06.11.2021","2,42","2,46","2,53","2,34","450,58K","-1,68%"
"05.11.2021","2,46","2,38","2,56","2,34","796,70K","3,52%"
"04.11.2021","2,38","2,42","2,43","2,33","385,12K","-2,04%"
"03.11.2021","2,42","2,47","2,48","2,32","498,83K","-1,93%"
"02.11.2021","2,47","2,42","2,53","2,41","687,79K","1,99%"
"01.11.2021","2,42","2,44","2,48","2,31","865,87K","-0,64%"
"31.10.2021","2,44","2,23","2,48","2,22","2,12M","9,59%"
"30.10.2021","2,23","2,22","2,28","2,13","1,01M","0,39%"
"29.10.2021","2,22","2,13","2,24","2,12","401,70K","4,27%"
"28.10.2021","2,13","2,02","2,23","2,00","746,90K","5,47%"
"27.10.2021","2,02","2,26","2,32","1,82","1,58M","-11,00%"
"26.10.2021","2,27","2,28","2,37","2,23","1,28M","-0,44%"
"25.10.2021","2,28","2,23","2,30","2,23","355,80K","1,88%"
"24.10.2021","2,23","2,30","2,31","2,18","424,28K","-2,71%"
"23.10.2021","2,30","2,31","2,32","2,27","324,40K","-0,54%"
"22.10.2021","2,31","2,28","2,35","2,26","328,51K","1,05%"
"21.10.2021","2,28","2,39","2,44","2,27","445,33K","-4,59%"
"20.10.2021","2,39","2,29","2,44","2,25","572,97K","4,63%"
"19.10.2021","2,29","2,29","2,32","2,25","514,38K","0,00%"
"18.10.2021","2,29","2,31","2,33","2,24","264,64K","-0,91%"
"17.10.2021","2,31","2,42","2,45","2,22","527,07K","-4,84%"
"16.10.2021","2,42","2,36","2,47","2,35","379,42K","2,61%"
"15.10.2021","2,36","2,44","2,44","2,29","488,17K","-3,36%"
"14.10.2021","2,44","2,42","2,55","2,40","877,95K","0,81%"
"13.10.2021","2,42","2,31","2,50","2,26","513,26K","5,09%"
"12.10.2021","2,31","2,44","2,44","2,20","626,02K","-5,40%"
"11.10.2021","2,44","2,52","2,58","2,37","367,30K","-3,18%"
"10.10.2021","2,52","2,55","2,66","2,51","685,67K","-1,23%"
"09.10.2021","2,55","2,48","2,60","2,45","348,93K","2,76%"
"08.10.2021","2,48","2,44","2,56","2,43","706,87K","1,76%"
"07.10.2021","2,44","2,48","2,52","2,39","548,70K","-1,76%"
"06.10.2021","2,48","2,51","2,58","2,35","886,44K","-0,94%"
"05.10.2021","2,51","2,34","2,63","2,32","591,39K","7,34%"
"04.10.2021","2,34","2,44","2,45","2,28","407,15K","-4,39%"
"03.10.2021","2,44","2,39","2,51","2,31","594,60K","2,39%"
"02.10.2021","2,39","2,38","2,46","2,33","313,38K","0,44%"
"01.10.2021","2,38","2,18","2,38","2,15","489,57K","9,02%"
"30.09.2021","2,18","2,06","2,20","2,06","287,12K","5,92%"
"29.09.2021","2,06","1,99","2,13","1,98","379,45K","3,32%"
"28.09.2021","1,99","2,07","2,10","1,99","481,06K","-3,64%"
"27.09.2021","2,07","2,10","2,23","2,06","421,05K","-1,41%"
"26.09.2021","2,10","2,12","2,15","1,95","429,57K","-0,96%"
"25.09.2021","2,12","2,18","2,22","2,06","586,31K","-2,89%"
"24.09.2021","2,18","2,37","2,40","2,03","700,31K","-8,25%"
"23.09.2021","2,37","2,30","2,38","2,23","460,38K","3,08%"
"22.09.2021","2,30","2,02","2,33","1,98","593,21K","14,22%"
"21.09.2021","2,02","2,17","2,25","1,95","926,65K","-7,11%"
"20.09.2021","2,17","2,50","2,50","2,07","2,08M","-13,04%"
"19.09.2021","2,50","2,65","2,65","2,45","377,42K","-5,61%"
"18.09.2021","2,65","2,63","2,70","2,59","309,05K","0,73%"
"17.09.2021","2,63","2,75","2,76","2,59","429,04K","-4,64%"
"16.09.2021","2,75","2,89","2,89","2,66","886,15K","-4,64%"
"15.09.2021","2,89","2,69","2,93","2,65","961,88K","7,46%"
"14.09.2021","2,69","2,61","2,69","2,55","427,58K","3,14%"
"13.09.2021","2,61","2,82","2,84","2,43","644,41K","-7,45%"
"12.09.2021","2,82","2,77","2,85","2,64","597,56K","1,98%"
"11.09.2021","2,76","2,71","2,83","2,67","931,01K","2,00%"
"10.09.2021","2,71","2,87","3,07","2,59","2,36M","-5,55%"
"09.09.2021","2,87","2,77","2,99","2,64","1,47M","3,53%"
"08.09.2021","2,77","2,75","2,86","2,45","2,64M","1,15%"
"07.09.2021","2,74","3,84","3,89","2,46","3,13M","-28,82%"
"06.09.2021","3,84","3,87","4,14","3,69","761,40K","-0,57%"
"05.09.2021","3,87","3,70","3,90","3,67","347,91K","4,60%"
"04.09.2021","3,70","3,67","3,83","3,62","328,75K","0,64%"
"03.09.2021","3,67","3,63","3,78","3,52","358,97K","1,25%"
"02.09.2021","3,63","3,67","3,81","3,62","323,92K","-1,19%"
"01.09.2021","3,67","3,52","3,75","3,45","282,16K","4,33%"
"31.08.2021","3,52","3,51","3,68","3,45","257,93K","0,25%"
"30.08.2021","3,51","3,73","3,75","3,47","300,22K","-5,95%"
"29.08.2021","3,73","3,85","3,89","3,66","257,17K","-3,06%"
"28.08.2021","3,85","4,00","4,06","3,82","254,45K","-3,70%"
"27.08.2021","4,00","3,72","4,02","3,63","516,13K","7,36%"
"26.08.2021","3,72","3,98","4,02","3,63","511,13K","-6,49%"
"25.08.2021","3,98","3,87","4,56","3,87","1,06M","2,93%"
"24.08.2021","3,87","3,80","4,20","3,70","829,72K","1,76%"
"23.08.2021","3,80","3,69","3,91","3,60","315,96K","3,15%"
"22.08.2021","3,68","3,75","3,80","3,51","299,23K","-1,78%"
"21.08.2021","3,75","3,71","3,81","3,55","351,54K","1,03%"
"20.08.2021","3,71","3,60","3,77","3,48","301,20K","3,16%"
"19.08.2021","3,60","3,16","3,62","3,07","494,07K","13,89%"
"18.08.2021","3,16","3,02","3,28","2,83","381,82K","4,81%"
"17.08.2021","3,02","3,25","3,37","2,99","434,21K","-7,24%"
"16.08.2021","3,25","3,46","3,57","3,15","502,68K","-6,17%"
"15.08.2021","3,47","3,47","3,47","3,32","365,50K","0,00%"
"14.08.2021","3,47","3,58","3,58","3,39","307,77K","-3,17%"
"13.08.2021","3,58","3,28","3,59","3,24","517,63K","8,95%"
"12.08.2021","3,28","3,22","3,35","3,01","468,69K","1,65%"
"11.08.2021","3,23","3,05","3,41","3,04","611,97K","5,84%"
"10.08.2021","3,05","2,98","3,13","2,87","592,77K","2,58%"
"09.08.2021","2,98","2,47","3,06","2,43","1,02M","20,49%"
"08.08.2021","2,47","2,62","2,66","2,42","556,74K","-5,74%"
"07.08.2021","2,62","2,58","2,69","2,53","739,54K","1,69%"
"06.08.2021","2,58","2,34","2,63","2,30","695,33K","10,13%"
"05.08.2021","2,34","2,29","2,38","2,24","405,08K","2,10%"
"04.08.2021","2,29","2,16","2,32","2,13","408,86K","6,07%"
"03.08.2021","2,16","2,23","2,25","2,09","514,27K","-3,28%"
"02.08.2021","2,23","2,10","2,48","2,10","1,24M","6,15%"
"01.08.2021","2,10","2,15","2,29","2,07","635,19K","-2,14%"
"31.07.2021","2,15","2,05","2,20","2,00","570,58K","4,54%"
"30.07.2021","2,06","1,99","2,06","1,87","405,59K","3,29%"
"29.07.2021","1,99","1,82","2,04","1,78","551,43K","9,87%"
"28.07.2021","1,81","1,76","1,86","1,72","447,46K","3,22%"
"27.07.2021","1,76","1,68","1,78","1,63","318,83K","4,62%"
"26.07.2021","1,68","1,64","1,84","1,63","771,09K","2,58%"
"25.07.2021","1,64","1,60","1,64","1,55","219,85K","1,24%"
"24.07.2021","1,62","1,59","1,65","1,57","467,67K","1,94%"
"23.07.2021","1,59","1,55","1,60","1,50","396,43K","2,47%"
"22.07.2021","1,55","1,53","1,57","1,49","421,27K","1,64%"
"21.07.2021","1,52","1,43","1,58","1,37","459,06K","6,16%"
"20.07.2021","1,43","1,55","1,57","1,40","477,90K","-7,71%"
"19.07.2021","1,55","1,71","1,72","1,55","422,40K","-9,36%"
"18.07.2021","1,71","1,67","1,74","1,67","156,95K","2,57%"
"17.07.2021","1,67","1,66","1,71","1,63","223,03K","0,86%"
"16.07.2021","1,66","1,73","1,77","1,64","355,17K","-4,01%"
"15.07.2021","1,73","1,83","1,85","1,70","354,56K","-5,51%"
"14.07.2021","1,83","1,83","1,85","1,73","303,08K","0,00%"
"13.07.2021","1,83","1,90","1,91","1,79","340,66K","-4,17%"
"12.07.2021","1,91","1,95","1,97","1,86","277,00K","-2,10%"
"11.07.2021","1,95","1,91","1,96","1,88","121,63K","1,85%"
"10.07.2021","1,91","1,95","1,99","1,88","202,40K","-2,20%"
"09.07.2021","1,95","1,94","2,01","1,84","427,49K","0,86%"
"08.07.2021","1,94","2,09","2,11","1,90","657,48K","-7,50%"
"07.07.2021","2,09","2,10","2,20","2,08","723,58K","0,41%"
"06.07.2021","2,09","1,95","2,12","1,95","741,42K","7,10%"
"05.07.2021","1,95","2,02","2,02","1,94","297,71K","-3,79%"
"04.07.2021","2,02","2,03","2,03","2,02","202,54K","3,11%"
"03.07.2021","1,96","1,89","1,96","1,88","371,41K","3,99%"
"02.07.2021","1,89","1,91","1,91","1,82","256,89K","-0,92%"
"01.07.2021","1,91","2,02","2,02","1,88","315,86K","-5,88%"
"30.06.2021","2,02","2,02","2,02","1,93","504,94K","0,40%"
"29.06.2021","2,02","1,90","2,05","1,90","370,37K","6,83%"
"28.06.2021","1,89","1,87","1,90","1,84","451,15K","1,13%"
"27.06.2021","1,87","1,74","1,87","1,74","429,26K","7,38%"
"26.06.2021","1,74","1,70","1,74","1,66","471,52K","1,95%"
"25.06.2021","1,70","1,92","1,92","1,70","665,65K","-10,86%"
"24.06.2021","1,91","1,87","1,93","1,81","566,38K","2,31%"
"23.06.2021","1,87","1,69","1,91","1,69","763,97K","11,31%"
"22.06.2021","1,68","1,83","1,83","1,68","1,79M","-8,04%"
"21.06.2021","1,83","2,20","2,20","1,83","1,14M","-17,17%"
"20.06.2021","2,20","2,07","2,20","2,07","720,09K","6,79%"
"19.06.2021","2,06","2,06","2,25","2,06","593,29K","0,29%"
"18.06.2021","2,06","2,23","2,23","2,04","509,87K","-7,50%"
"17.06.2021","2,23","2,32","2,33","2,22","698,07K","-4,30%"
"16.06.2021","2,33","2,18","2,33","2,14","1,13M","6,45%"
"15.06.2021","2,18","2,08","2,18","2,05","931,64K","5,24%"
"14.06.2021","2,08","1,92","2,08","1,92","627,03K","8,28%"
"13.06.2021","1,92","1,69","1,92","1,69","529,69K","13,11%"
"12.06.2021","1,69","1,75","1,75","1,69","463,46K","-2,91%"
"11.06.2021","1,75","1,87","1,87","1,74","654,11K","-6,50%"
"10.06.2021","1,87","2,02","2,02","1,87","797,33K","-7,45%"
"09.06.2021","2,02","1,90","2,02","1,90","1,07M","5,97%"
"08.06.2021","1,90","1,92","1,92","1,84","771,74K","-1,15%"
"07.06.2021","1,93","2,14","2,15","1,93","743,83K","-9,98%"
"06.06.2021","2,14","2,02","2,14","2,02","553,21K","5,96%"
"05.06.2021","2,02","2,09","2,14","2,02","704,50K","-3,05%"
"04.06.2021","2,08","2,33","2,33","2,08","878,35K","-10,55%"
"03.06.2021","2,33","2,18","2,33","2,15","696,21K","6,75%"
"02.06.2021","2,18","2,04","2,18","2,04","806,31K","6,90%"
"01.06.2021","2,04","2,10","2,11","2,04","823,43K","-3,99%"
"31.05.2021","2,13","1,96","2,13","1,90","849,78K","8,42%"
"30.05.2021","1,96","1,86","2,07","1,86","895,45K","5,61%"
"29.05.2021","1,86","2,01","2,09","1,83","714,80K","-7,73%"
"28.05.2021","2,01","2,27","2,27","1,99","1,43M","-10,68%"
"27.05.2021","2,25","2,45","2,45","2,20","1,01M","-7,95%"
"26.05.2021","2,45","2,23","2,45","2,23","1,33M","10,29%"
"25.05.2021","2,22","2,15","2,22","2,01","1,65M","3,76%"
"24.05.2021","2,14","1,68","2,14","1,68","2,42M","26,31%"
"23.05.2021","1,69","2,01","2,01","1,51","3,16M","-15,78%"
"22.05.2021","2,01","2,23","2,23","1,99","1,42M","-9,77%"
"21.05.2021","2,23","2,59","2,66","2,16","2,67M","-13,72%"
"20.05.2021","2,58","1,96","2,58","1,96","3,26M","31,52%"
"19.05.2021","1,96","3,82","3,82","1,96","4,77M","-48,68%"
"18.05.2021","3,82","3,71","3,86","3,69","1,47M","3,11%"
"17.05.2021","3,71","3,81","3,81","3,70","1,59M","-2,80%"
"16.05.2021","3,82","3,69","3,99","3,69","1,64M","3,56%"
"15.05.2021","3,68","4,07","4,07","3,68","1,19M","-9,45%"
"14.05.2021","4,07","3,95","4,19","3,95","1,21M","2,71%"
"13.05.2021","3,96","3,87","4,20","3,87","2,37M","2,92%"
"12.05.2021","3,85","4,78","4,88","3,85","1,70M","-19,49%"
"11.05.2021","4,78","4,41","4,78","4,41","1,07M","8,06%"
"10.05.2021","4,42","5,07","5,11","4,42","1,92M","-12,72%"
"09.05.2021","5,07","4,84","5,11","4,78","1,00M","4,77%"
"08.05.2021","4,84","4,81","4,97","4,81","784,08K","0,68%"
"07.05.2021","4,81","4,90","4,93","4,78","1,22M","-1,85%"
"06.05.2021","4,90","5,05","5,15","4,90","1,35M","-2,98%"
"05.05.2021","5,05","4,69","5,05","4,69","1,51M","0,60%"
"04.05.2021","5,02","5,46","5,46","4,82","2,48M","-8,21%"
"03.05.2021","5,46","5,45","5,62","5,26","2,13M","0,24%"
"02.05.2021","5,45","5,08","5,45","4,84","1,66M","7,43%"
"01.05.2021","5,07","5,25","5,37","5,07","1,98M","-3,28%"
"30.04.2021","5,25","4,61","5,25","4,55","1,88M","13,90%"
"29.04.2021","4,61","4,14","4,71","4,14","2,80M","11,40%"
"28.04.2021","4,14","4,13","4,14","3,88","1,97M","0,43%"
"27.04.2021","4,12","3,62","4,12","3,62","1,40M","13,51%"
"26.04.2021","3,63","2,94","3,63","2,94","1,70M","23,86%"
"25.04.2021","2,93","3,02","3,21","2,93","1,47M","-2,80%"
"24.04.2021","3,01","3,14","3,14","2,88","1,36M","-4,13%"
"23.04.2021","3,14","3,43","3,43","3,05","2,74M","-8,43%"
"22.04.2021","3,43","3,76","3,94","3,43","1,90M","-7,91%"
"21.04.2021","3,73","3,86","3,99","3,73","1,09M","-3,58%"
"20.04.2021","3,87","3,66","3,96","3,35","1,58M","5,58%"
"19.04.2021","3,66","4,12","4,28","3,66","1,85M","-11,11%"
"18.04.2021","4,12","4,63","4,63","3,74","2,80M","-10,98%"
"17.04.2021","4,63","4,89","5,02","4,63","1,11M","-5,64%"
"16.04.2021","4,90","4,70","4,90","4,59","1,65M","3,99%"
"15.04.2021","4,71","4,51","4,80","4,51","1,30M","4,33%"
"14.04.2021","4,52","4,64","4,74","4,43","1,64M","-2,04%"
"13.04.2021","4,61","4,73","4,75","4,52","1,11M","-2,56%"
"12.04.2021","4,73","5,02","5,02","4,69","1,13M","-5,66%"
"11.04.2021","5,02","5,17","5,29","4,91","1,09M","-2,83%"
"10.04.2021","5,17","4,77","5,35","4,75","1,96M","8,31%"
"09.04.2021","4,77","4,68","4,77","4,62","1,12M","1,95%"
"08.04.2021","4,68","4,09","4,75","4,09","1,33M","14,73%"
"07.04.2021","4,08","4,63","4,63","4,08","2,23M","-11,85%"
"06.04.2021","4,62","4,72","4,81","4,39","1,60M","-1,94%"
"05.04.2021","4,72","4,48","5,04","4,18","3,05M","5,77%"
"04.04.2021","4,46","3,37","4,46","3,37","1,69M","31,96%"
"03.04.2021","3,38","3,73","3,77","3,38","959,96K","-9,38%"
"02.04.2021","3,73","3,67","3,73","3,61","640,99K","1,56%"
"01.04.2021","3,67","3,50","3,68","3,50","791,26K","4,98%"
"31.03.2021","3,50","3,64","3,64","3,40","905,82K","-4,02%"
"30.03.2021","3,64","3,30","3,64","3,30","957,78K","10,58%"
"29.03.2021","3,30","3,09","3,30","3,09","690,03K","6,80%"
"28.03.2021","3,09","3,16","3,26","3,09","881,35K","-2,35%"
"27.03.2021","3,16","3,04","3,16","3,04","710,08K","3,91%"
