"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.11.2021","25,6683","25,2956","26,0019","25,2133","1,93M","1,47%"
"07.11.2021","25,2956","25,1467","25,4972","24,9688","1,37M","0,59%"
"06.11.2021","25,1467","25,5746","25,7901","24,4770","2,04M","-1,63%"
"05.11.2021","25,5636","25,7583","26,0803","25,2625","2,70M","-0,81%"
"04.11.2021","25,7717","26,8274","27,4477","25,2575","3,91M","-3,94%"
"03.11.2021","26,8274","26,1678","27,0291","25,3854","4,18M","2,62%"
"02.11.2021","26,1412","25,6154","26,2995","25,1447","2,30M","2,04%"
"01.11.2021","25,6175","24,9902","26,4560","24,1563","3,30M","2,51%"
"31.10.2021","24,9902","24,8985","25,2621","24,0176","1,90M","0,42%"
"30.10.2021","24,8851","25,5257","25,5619","24,4391","1,69M","-2,07%"
"29.10.2021","25,4104","24,8905","25,7962","24,6862","2,41M","2,08%"
"28.10.2021","24,8915","24,1273","25,3475","23,9566","4,10M","3,17%"
"27.10.2021","24,1273","26,5521","28,2969","23,6560","7,32M","-9,18%"
"26.10.2021","26,5654","26,7386","28,2691","26,1614","5,45M","-0,63%"
"25.10.2021","26,7346","25,7917","26,7346","25,6996","1,94M","3,66%"
"24.10.2021","25,7917","26,8462","27,2281","25,3799","2,32M","-3,93%"
"23.10.2021","26,8475","25,6329","26,8769","25,2859","2,12M","4,72%"
"22.10.2021","25,6376","26,0997","26,8581","25,3387","2,08M","-1,77%"
"21.10.2021","26,0997","27,1250","27,7374","25,8575","3,33M","-3,76%"
"20.10.2021","27,1192","26,0267","27,1192","25,5565","2,71M","4,17%"
"19.10.2021","26,0332","25,6599","26,2932","25,2717","2,16M","1,45%"
"18.10.2021","25,6599","25,9110","26,2405","24,8906","2,31M","-0,97%"
"17.10.2021","25,9110","27,0388","27,1270","25,0526","3,43M","-4,17%"
"16.10.2021","27,0388","25,8868","27,9070","25,7604","5,10M","4,45%"
"15.10.2021","25,8868","26,4127","26,8399","25,4084","4,80M","-1,99%"
"14.10.2021","26,4127","24,6786","26,4470","24,5387","5,36M","7,03%"
"13.10.2021","24,6786","23,4550","25,7246","23,1823","8,05M","5,25%"
"12.10.2021","23,4471","24,1686","24,1687","22,3052","2,96M","-3,00%"
"11.10.2021","24,1730","24,1649","25,0514","23,5508","2,94M","0,03%"
"10.10.2021","24,1649","25,1325","25,9844","24,1100","3,37M","-3,85%"
"09.10.2021","25,1325","24,7662","25,6568","24,5578","2,38M","1,54%"
"08.10.2021","24,7516","25,5103","26,0927","24,6394","3,34M","-2,91%"
"07.10.2021","25,4932","25,2458","26,2661","24,5095","3,73M","0,98%"
"06.10.2021","25,2458","25,6338","26,0198","23,8303","4,42M","-1,51%"
"05.10.2021","25,6338","25,3357","25,8645","24,5821","3,46M","1,19%"
"04.10.2021","25,3324","26,0054","26,0078","24,2860","4,39M","-2,59%"
"03.10.2021","26,0054","26,1361","26,5920","25,7106","3,65M","-0,52%"
"02.10.2021","26,1420","25,6384","27,1992","25,3828","6,91M","1,96%"
"01.10.2021","25,6384","23,5332","25,7969","23,4898","7,51M","8,95%"
"30.09.2021","23,5332","23,0132","23,9335","22,6480","5,16M","2,25%"
"29.09.2021","23,0146","23,0801","24,2525","22,4101","8,31M","-0,26%"
"28.09.2021","23,0746","22,3882","24,9540","22,2263","15,71M","3,08%"
"27.09.2021","22,3854","24,0935","25,9838","22,2763","14,87M","-7,09%"
"26.09.2021","24,0935","19,4689","24,6984","17,7503","22,05M","23,75%"
"25.09.2021","19,4689","19,6489","20,0939","18,9561","3,56M","-0,98%"
"24.09.2021","19,6611","21,4972","21,6140","18,2194","6,14M","-8,54%"
"23.09.2021","21,4972","21,6278","21,8169","20,8893","2,88M","-0,60%"
"22.09.2021","21,6278","19,0304","21,6346","18,8608","5,24M","13,65%"
"21.09.2021","19,0304","20,8897","21,6194","18,3739","6,68M","-8,81%"
"20.09.2021","20,8682","23,8862","23,9412","20,5324","6,24M","-12,63%"
"19.09.2021","23,8862","24,5287","24,6257","23,5131","1,79M","-2,62%"
"18.09.2021","24,5287","24,2869","25,1781","23,9508","2,32M","1,00%"
"17.09.2021","24,2869","26,2331","26,3693","24,0154","4,78M","-7,40%"
"16.09.2021","26,2290","27,4537","27,5913","25,3912","6,00M","-4,46%"
"15.09.2021","27,4537","25,6458","27,4537","24,7030","6,35M","7,11%"
"14.09.2021","25,6305","22,6562","25,8751","22,5044","6,16M","13,13%"
