"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.12.2021","167,81","164,91","172,33","164,38","29,37K","1,76%"
"24.12.2021","164,91","166,89","180,00","162,77","29,00K","-1,19%"
"23.12.2021","166,89","165,13","169,68","156,80","29,91K","1,02%"
"22.12.2021","165,21","162,30","168,47","160,33","29,84K","1,79%"
"21.12.2021","162,30","155,79","162,91","155,73","30,75K","4,18%"
"20.12.2021","155,79","157,53","163,59","149,30","31,46K","-1,10%"
"19.12.2021","157,53","157,32","166,46","155,78","30,26K","0,13%"
"18.12.2021","157,32","150,18","165,09","149,42","30,58K","4,76%"
"17.12.2021","150,17","152,18","154,19","145,32","32,25K","-1,33%"
"16.12.2021","152,19","158,78","165,94","151,37","31,92K","-4,14%"
"15.12.2021","158,77","151,78","162,24","143,36","32,42K","4,61%"
"14.12.2021","151,78","147,97","154,33","143,88","32,88K","2,57%"
"13.12.2021","147,97","169,54","171,65","146,14","31,14K","-12,72%"
"12.12.2021","169,54","167,78","172,73","161,02","29,52K","1,06%"
"11.12.2021","167,76","159,50","171,15","156,46","29,51K","5,18%"
"10.12.2021","159,50","164,51","173,95","159,47","29,05K","-3,05%"
"09.12.2021","164,51","178,91","186,65","162,40","29,80K","-8,05%"
"08.12.2021","178,91","175,11","180,81","166,36","29,29K","2,18%"
"07.12.2021","175,09","181,12","185,62","171,60","27,77K","-3,33%"
"06.12.2021","181,12","182,20","184,66","170,50","20,50K","-0,63%"
"05.12.2021","182,26","187,62","194,18","173,79","19,88K","-2,86%"
"04.12.2021","187,62","206,30","206,59","142,73","27,50K","-8,89%"
"03.12.2021","205,92","225,46","237,72","201,36","23,58K","-8,67%"
"02.12.2021","225,48","229,20","229,24","213,88","34,48K","-1,62%"
"01.12.2021","229,20","220,29","247,11","215,96","50,87K","3,85%"
"30.11.2021","220,70","246,20","247,21","214,96","57,54K","-10,36%"
"29.11.2021","246,20","241,68","255,09","168,22","42,54K","1,87%"
"28.11.2021","241,68","243,49","243,49","162,03","24,59K","-0,74%"
"27.11.2021","243,49","245,27","365,57","221,10","25,74K","-0,73%"
"26.11.2021","245,27","294,17","294,81","241,57","24,86K","-16,62%"
"25.11.2021","294,17","259,50","326,00","231,00","25,00K","13,36%"
"24.11.2021","259,50","219,19","355,55","216,00","25,03K","18,39%"
"23.11.2021","219,19","206,69","220,73","198,56","190,63K","6,05%"
"22.11.2021","206,69","229,96","238,99","199,08","36,46K","-10,12%"
"21.11.2021","229,96","178,12","356,00","176,11","52,85K","29,10%"
"20.11.2021","178,12","158,81","190,36","157,91","52,85K","12,16%"
"19.11.2021","158,81","146,61","163,09","142,76","83,45K","8,32%"
"18.11.2021","146,61","159,27","162,21","128,30","121,83K","-7,95%"
"17.11.2021","159,27","165,66","167,68","141,64","100,74K","-3,86%"
"16.11.2021","165,67","195,44","250,00","156,23","138,01K","-15,23%"
"15.11.2021","195,44","201,57","204,31","159,00","78,66K","-3,04%"
"14.11.2021","201,57","199,17","260,00","192,11","55,08K","1,21%"
"13.11.2021","199,17","201,43","212,90","198,35","47,39K","-1,12%"
"12.11.2021","201,43","204,70","357,21","190,56","92,92K","-1,60%"
"11.11.2021","204,70","179,92","218,71","176,48","70,11K","13,81%"
"10.11.2021","179,86","199,81","205,26","171,87","141,03K","-9,98%"
"09.11.2021","199,81","170,66","200,00","169,42","82,04K","17,00%"
"08.11.2021","170,78","164,08","171,60","163,52","116,47K","4,08%"
"07.11.2021","164,08","159,42","164,91","158,26","58,47K","2,92%"
"06.11.2021","159,42","162,78","167,80","154,86","54,92K","-2,03%"
"05.11.2021","162,73","163,55","169,32","159,81","65,48K","-0,50%"
"04.11.2021","163,55","168,27","171,72","160,07","74,98K","-2,83%"
"03.11.2021","168,31","171,36","171,81","160,18","97,00K","-1,78%"
"02.11.2021","171,36","169,06","179,91","167,32","88,53K","1,36%"
"01.11.2021","169,06","167,40","172,92","161,29","101,35K","0,99%"
"31.10.2021","167,40","153,11","187,28","151,88","103,90K","9,33%"
"30.10.2021","153,11","162,22","163,60","149,83","76,32K","-5,43%"
"29.10.2021","161,90","159,06","163,58","156,67","95,87K","1,79%"
"28.10.2021","159,06","146,92","160,52","143,71","162,89K","8,26%"
"27.10.2021","146,92","161,08","162,80","142,77","143,48K","-8,79%"
"26.10.2021","161,08","170,19","171,51","158,86","77,26K","-5,35%"
"25.10.2021","170,19","172,99","177,17","169,16","81,15K","-1,62%"
"24.10.2021","172,99","173,63","190,10","170,58","76,28K","-0,37%"
"23.10.2021","173,63","164,31","174,08","164,07","69,30K","5,67%"
"22.10.2021","164,31","155,07","166,30","154,90","124,35K","5,96%"
"21.10.2021","155,07","149,77","158,88","146,27","173,28K","3,54%"
"20.10.2021","149,77","144,27","151,26","143,96","138,54K","3,81%"
"19.10.2021","144,27","140,61","147,27","138,68","138,40K","2,60%"
"18.10.2021","140,61","137,44","146,08","135,10","152,77K","2,31%"
"17.10.2021","137,44","125,87","140,56","124,19","111,83K","9,19%"
"16.10.2021","125,87","126,27","127,99","123,51","98,56K","-0,32%"
"15.10.2021","126,27","121,63","127,56","119,14","200,31K","3,81%"
"14.10.2021","121,63","119,40","122,56","118,98","104,02K","1,87%"
"13.10.2021","119,40","116,15","119,44","113,25","132,08K","2,80%"
"12.10.2021","116,15","119,62","119,62","111,71","157,72K","-2,90%"
"11.10.2021","119,62","119,65","125,75","115,87","125,99K","-0,03%"
"10.10.2021","119,65","127,40","127,71","118,80","117,10K","-6,08%"
"09.10.2021","127,40","123,29","128,17","122,11","74,86K","3,33%"
"08.10.2021","123,29","125,18","127,71","122,80","117,51K","-1,51%"
"07.10.2021","125,18","125,31","129,49","121,54","107,68K","-0,10%"
"06.10.2021","125,31","123,35","126,96","114,78","206,98K","1,59%"
"05.10.2021","123,35","117,00","124,00","115,30","127,48K","5,43%"
"04.10.2021","117,00","118,63","118,96","112,82","128,36K","-1,37%"
"03.10.2021","118,63","114,15","119,26","112,31","97,00K","3,92%"
"02.10.2021","114,15","114,74","117,36","111,61","82,13K","-0,51%"
"01.10.2021","114,74","107,04","114,97","106,13","204,35K","7,14%"
"30.09.2021","107,09","103,55","107,90","102,94","172,74K","3,42%"
"29.09.2021","103,55","100,69","108,14","100,38","102,95K","2,84%"
"28.09.2021","100,69","104,40","107,64","100,19","120,00K","-3,56%"
"27.09.2021","104,41","110,74","113,71","104,22","112,24K","-5,37%"
"26.09.2021","110,34","110,70","113,64","101,89","153,95K","-0,33%"
"25.09.2021","110,70","110,51","112,75","107,04","104,83K","0,17%"
"24.09.2021","110,51","122,50","123,28","104,64","205,34K","-9,79%"
"23.09.2021","122,50","121,37","123,45","118,14","104,12K","0,93%"
"22.09.2021","121,37","111,30","121,65","110,49","137,43K","9,05%"
"21.09.2021","111,30","118,62","120,86","108,19","206,91K","-6,17%"
"20.09.2021","118,62","133,56","133,91","114,94","227,72K","-11,18%"
"19.09.2021","133,55","138,50","141,42","131,86","75,68K","-3,57%"
"18.09.2021","138,50","134,30","143,80","132,59","80,69K","3,13%"
"17.09.2021","134,30","137,85","139,84","132,16","94,17K","-2,58%"
"16.09.2021","137,85","139,86","146,29","133,43","138,12K","-1,37%"
"15.09.2021","139,77","133,51","140,05","130,78","146,09K","4,69%"
"14.09.2021","133,51","127,56","133,70","126,29","136,22K","4,66%"
"13.09.2021","127,56","131,40","132,44","120,89","253,82K","-2,92%"
"12.09.2021","131,40","128,38","133,63","126,17","114,62K","2,35%"
"11.09.2021","128,38","127,99","134,36","126,71","109,04K","0,30%"
"10.09.2021","127,99","137,41","142,55","125,07","190,78K","-6,86%"
"09.09.2021","137,41","135,37","143,26","131,54","171,66K","1,68%"
"08.09.2021","135,14","135,72","139,09","119,77","286,43K","-0,43%"
"07.09.2021","135,72","170,99","171,70","123,03","505,96K","-20,63%"
"06.09.2021","170,99","172,67","175,74","163,67","132,05K","-0,97%"
"05.09.2021","172,67","160,16","175,27","159,02","131,47K","7,81%"
